pair,material_id,distance_dex,realized_Linf_A,realized_Linf_B,realized_Linf_ratio_A_over_B,row_index_A,row_index_B,nominal_tolerance_absolute_A,nominal_tolerance_absolute_B,nominal_tolerance_relative_A,nominal_tolerance_relative_B,Bader_error_fixed_e_A,Bader_error_fixed_e_B,Bader_error_resolved_e_A,Bader_error_resolved_e_B,compression_ratio_A,compression_ratio_B,bits_per_value_A,bits_per_value_B,certified_at_0.0001_A,certified_at_0.0001_B,certified_at_0.0001_ignoring_eligibility_A,certified_at_0.0001_ignoring_eligibility_B,certified_at_0.001_A,certified_at_0.001_B,certified_at_0.001_ignoring_eligibility_A,certified_at_0.001_ignoring_eligibility_B,certified_at_0.01_A,certified_at_0.01_B,certified_at_0.01_ignoring_eligibility_A,certified_at_0.01_ignoring_eligibility_B,eligible_A1_at_0.0001_A,eligible_A1_at_0.0001_B,eligible_A1_at_0.001_A,eligible_A1_at_0.001_B,eligible_A1_at_0.01_A,eligible_A1_at_0.01_B
zfp_vs_sz3,mp-1007755,0.07432714556053155,0.3067297859999982,0.3639846736822179,0.8426997293512228,15,8,3.639916937734,0.3639916937734,0.01,0.001,0.0001312917007343,0.0029655243480064,0.0400014774103283,0.0962538166137658,36.60700389105058,128.40946896992963,1.748299319727891,0.49840561224489793,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
zfp_vs_sz3,mp-1007755,0.09898106583682731,0.0457162637499983,0.0363990177230846,1.2559752050947413,13,6,0.3639916937734,0.03639916937734,0.001,0.0001,2.2728323260778893e-05,0.0002872763116297,0.0076823768746834,0.0111193350550529,20.794032324906755,37.07414990071271,3.0778061224489797,1.7262701955782314,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True
zfp_vs_sz3,mp-1009084,0.08172871286343986,2.802988618999997,2.3221625751740333,1.2070595956400376,48,36,23.22163180418,2.322163180418,0.01,0.001,0.0014273413212455,0.0114974399442875,0.0319377952213151,0.0303640201949546,62.19878536513109,262.67257467549393,1.0289590001524158,0.24364934207183864,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
zfp_vs_sz3,mp-1009084,0.08352917187968616,0.8443886949999992,0.6966477492110812,1.2120741019492667,47,35,6.966489541253999,0.6966489541253998,0.003,0.0003,0.0004287014207404,0.00158017532575,0.0224674463563729,0.0259032192491024,41.373928465858704,140.07110789887,1.5468678555098307,0.4569107859574252,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
zfp_vs_sz3,mp-1025517,0.034866703173674185,1.275597810000022,1.3822304883614294,0.9228546329579118,80,68,13.82247675884,1.382247675884,0.01,0.001,0.0012431417016074,0.0056673067021577,0.0241645902351788,0.0268169053058162,43.10271955655638,140.72715704641053,1.4848251028806585,0.45478073559670784,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
zfp_vs_sz3,mp-1025517,0.05053833093862181,4.657900030000008,4.146215132289512,1.1234101177542968,81,69,41.46743027652,4.1467430276520005,0.03,0.003,0.0054675971072626,0.0085440136985184,0.0254792287969944,0.1010527797868281,66.03821656050955,304.4049239238474,0.9691358024691358,0.21024627057613168,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
zfp_vs_sz3,mp-1036731,0.050232903116436356,10.599988980000036,11.899763136083209,0.8907731068913535,101,93,118.99790609118,11.899790609118,0.01,0.001,0.0010510015431552,0.0131613255326898,0.0351801429863272,0.0345785272774907,40.03038805856191,127.20419737360872,1.598785400390625,0.5031280517578125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
zfp_vs_sz3,mp-1036731,0.09628152818886515,44.55963353000004,35.69933138342989,1.2481923835325028,102,94,356.99371827354,35.699371827354,0.03,0.003,0.004374973768372,0.102556082821362,0.0706558738823233,0.1743978630911415,62.47659904072452,243.5009579100145,1.024383544921875,0.2628326416015625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
zfp_vs_sz3,mp-1041800,0.0032640169479287717,20.77733809999995,20.62176768351942,1.0075439903536914,164,156,206.219724369,20.6219724369,0.03,0.003,0.0033595248152948,0.0444357975200961,0.0232201651416463,0.1066679934437955,66.34272756721737,336.1280175066676,0.9646875,0.19040364583333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
zfp_vs_sz3,mp-1041800,0.09634417853519948,0.8581278799999836,0.6873973184326374,1.2483724579499902,161,153,6.8739908123,0.68739908123,0.001,0.0001,9.095775094358773e-05,0.0009362813931179,0.0052070274685611,0.0088515003375455,23.76559326950972,49.82463253928029,2.69296875,1.2845052083333333,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,True
zfp_vs_sz3,mp-1044003,0.05564424251117717,20.241482840000003,17.80730027921561,1.1366957664899677,194,183,178.07742728603,17.807742728603,0.01,0.001,0.0021421943639117,0.036462940772834,0.3100623922340464,0.2532165886938192,70.11897629033639,289.2017121927541,0.912734375,0.221298828125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
