pair,nominal_column,n_pairs,n_materials,median_realized_Linf_ratio_A_over_B,median_abs_log10_Linf_difference_dex,p95_abs_log10_Linf_difference_dex
zfp_vs_sz3,nominal_tolerance_absolute,1936,254,0.17024887516425885,0.7689157667220401,0.9420570952749618
zfp_vs_sperr,nominal_tolerance_absolute,1952,254,0.16952346140492944,0.7707702044216939,0.9434116062100885
sz3_vs_sperr,nominal_tolerance_absolute,1848,254,1.0000103200587862,4.687518522103473e-06,0.00047987601783744274
