caliper_dex,pair,metric,effect_type,n_usable_pairs,n_usable_materials,a_pair_median,b_pair_median,effect,ci_low,ci_high
0.1,zfp_vs_sz3,compression_ratio,material-median ratio zfp/sz3,457,214,43.46964765812933,133.38169099625688,0.32552409976228247,0.3121249105453485,0.3394333165268674
0.1,zfp_vs_sz3,bits_per_value,material-median ratio zfp/sz3,457,214,1.4722916666666668,0.47982597552910056,3.071969174418302,2.9460867608169696,3.203845531754537
0.1,zfp_vs_sz3,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sz3,105,42,0.0761904761904762,0.02857142857142857,0.026984126984126982,0.007936507936507936,0.050793650793650794
0.1,zfp_vs_sz3,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,457,214,0.0175054704595186,0.006564551422319475,0.00529595015576324,0.0009345794392523365,0.01059190031152648
0.1,zfp_vs_sz3,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sz3,287,128,0.1254355400696864,0.09059233449477352,0.034375,0.009635416666666667,0.058854166666666666
0.1,zfp_vs_sz3,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,457,214,0.08096280087527352,0.05689277899343545,0.021728971962616823,0.0065420560747663555,0.03870716510903427
0.1,zfp_vs_sz3,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sz3,430,200,0.4697674418604651,0.32790697674418606,0.14866666666666667,0.10916041666666666,0.18950208333333332
0.1,zfp_vs_sz3,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,457,214,0.4485776805251641,0.3085339168490153,0.1498442367601246,0.1125369937694704,0.18987733644859814
0.1,zfp_vs_sperr,Bader_error_fixed_e,material-median ratio zfp/sperr,465,206,0.0002925568999447,0.0003264551690076,0.7089687772911449,0.6654597070485814,0.8012109188254893
0.1,zfp_vs_sperr,Bader_error_resolved_e,material-median ratio zfp/sperr,465,206,0.0125901688313412,0.0218584212822685,0.6007474002367663,0.5338566672348355,0.661802670550281
0.1,zfp_vs_sperr,compression_ratio,material-median ratio zfp/sperr,465,206,44.012239772184586,17.984486039061355,2.668694833594388,2.5240125480628075,2.757675728699559
0.1,zfp_vs_sperr,bits_per_value,material-median ratio zfp/sperr,465,206,1.4541409465020576,3.558622685185185,0.37471500578173217,0.3626242163256705,0.3961945437900081
0.1,zfp_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sperr,109,42,0.07339449541284404,0.027522935779816515,0.026984126984126982,0.004761904761904762,0.055595238095237885
0.1,zfp_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,465,206,0.017204301075268817,0.0064516129032258064,0.005501618122977346,0.0009708737864077671,0.01197411003236246
0.1,zfp_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sperr,291,124,0.12371134020618557,0.10652920962199312,0.015456989247311826,-0.0013440860215053765,0.034274193548387094
0.1,zfp_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,465,206,0.07956989247311828,0.06881720430107527,0.009304207119741099,-0.002022653721682848,0.021035598705501618
0.1,zfp_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sperr,439,193,0.45558086560364464,0.296127562642369,0.16986183074265976,0.12806347150259068,0.21330310880829012
0.1,zfp_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,465,206,0.43655913978494626,0.2817204301075269,0.16561488673139158,0.12297734627831715,0.20873988673139157
0.1,sz3_vs_sperr,Bader_error_fixed_e,material-median ratio sz3/sperr,1848,254,0.00024414631133535,1.8487504053865678e-05,10.774690116694826,10.114998517284501,11.41847427280604
0.1,sz3_vs_sperr,Bader_error_resolved_e,material-median ratio sz3/sperr,1848,254,0.004860170924649351,0.0044919420803597,1.0325070260736608,0.9762380496022375,1.0716556526466035
0.1,sz3_vs_sperr,compression_ratio,material-median ratio sz3/sperr,1848,254,35.861785027145686,9.95661057623849,3.5819085179736745,3.3481346544661936,3.816413354001704
0.1,sz3_vs_sperr,bits_per_value,material-median ratio sz3/sperr,1848,254,1.784629539207176,6.427893763472467,0.2791807761091875,0.2620261243325357,0.2986737700845051
0.1,sz3_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference sz3-sperr,456,46,0.12938596491228072,0.16447368421052633,-0.03326196750109794,-0.059976257136583215,-0.007717803030303035
0.1,sz3_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.039502164502164504,0.05357142857142857,-0.010407931963050074,-0.01717249832407313,-0.004311318329526992
0.1,sz3_vs_sperr,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference sz3-sperr,1329,143,0.3476297968397291,0.3935289691497366,-0.04838747111474384,-0.06566605112059658,-0.029937871471962384
0.1,sz3_vs_sperr,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.2527056277056277,0.2884199134199134,-0.030077348286009702,-0.04094875214461829,-0.019768899626183094
0.1,sz3_vs_sperr,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference sz3-sperr,1754,229,0.6510832383124288,0.6539338654503991,-0.014820853576312092,-0.03592243394645142,0.006570863028286595
0.1,sz3_vs_sperr,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference sz3-sperr,1848,254,0.6195887445887446,0.6228354978354979,-0.014215126518276125,-0.03416786680074082,0.004386994239356434
0.2,zfp_vs_sz3,Bader_error_fixed_e,material-median ratio zfp/sz3,1089,244,8.523788442005298e-05,0.0010993871924345,0.0636669146173186,0.05900006312825229,0.07005058675703683
0.2,zfp_vs_sz3,Bader_error_resolved_e,material-median ratio zfp/sz3,1089,244,0.0063462185644702,0.0108794457203984,0.5907402009496618,0.5649825441092167,0.6196242167348158
0.2,zfp_vs_sz3,compression_ratio,material-median ratio zfp/sz3,1089,244,30.126535152436947,67.68952985731227,0.44833402566568215,0.4285237784050808,0.4690768734421467
0.2,zfp_vs_sz3,bits_per_value,material-median ratio zfp/sz3,1089,244,2.1243730709876543,0.9454933449074074,2.230479826988838,2.1318467326301347,2.3335927908642353
0.2,zfp_vs_sz3,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sz3,256,46,0.16796875,0.09375,0.0785455486542443,0.04676112836438923,0.11330357142857142
0.2,zfp_vs_sz3,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,1089,244,0.06336088154269973,0.027548209366391185,0.029400858704137393,0.01975885538641686,0.03990632318501171
0.2,zfp_vs_sz3,certified_at_0.001 | both eligible_A1_at_0.001=TRUE,material-mean certification-rate difference zfp-sz3,740,143,0.3635135135135135,0.2581081081081081,0.12269397269397268,0.09801677489177489,0.14941017316017313
0.2,zfp_vs_sz3,certified_at_0.001_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,1089,244,0.26078971533516987,0.17722681359044995,0.08529469164715067,0.06858289422326308,0.10308401639344261
0.2,zfp_vs_sz3,certified_at_0.01 | both eligible_A1_at_0.01=TRUE,material-mean certification-rate difference zfp-sz3,1027,225,0.6231742940603701,0.5170399221032133,0.11822222222222223,0.09584166666666667,0.141064417989418
0.2,zfp_vs_sz3,certified_at_0.01_ignoring_eligibility,material-mean certification-rate difference zfp-sz3,1089,244,0.5959595959595959,0.48943985307621674,0.11755464480874317,0.09555888953942233,0.1406324404761905
0.2,zfp_vs_sperr,Bader_error_fixed_e,material-median ratio zfp/sperr,1091,245,8.444106150484743e-05,7.97291357157448e-05,0.7267162043981021,0.6665986911588614,0.819341583275555
0.2,zfp_vs_sperr,Bader_error_resolved_e,material-median ratio zfp/sperr,1091,245,0.0063462185644702,0.0107368129163951,0.5911392517065933,0.5579006231887289,0.6235274663045247
0.2,zfp_vs_sperr,compression_ratio,material-median ratio zfp/sperr,1091,245,30.1025897410259,13.433411564640606,2.601882649123452,2.486115857826384,2.6846393493536245
0.2,zfp_vs_sperr,bits_per_value,material-median ratio zfp/sperr,1091,245,2.1260629251700682,4.764240244708994,0.3843370877379462,0.3724895115765805,0.4022338688890798
0.2,zfp_vs_sperr,certified_at_0.0001 | both eligible_A1_at_0.0001=TRUE,material-mean certification-rate difference zfp-sperr,265,46,0.16226415094339622,0.10943396226415095,0.056202553485162184,0.027642555210489996,0.08613397170462386
0.2,zfp_vs_sperr,certified_at_0.0001_ignoring_eligibility,material-mean certification-rate difference zfp-sperr,1091,245,0.06324472960586618,0.035747021081576534,0.023114674441205053,0.01473748785228377,0.0321858195659216
