material_id,formula,system_type,corpus,codec,codec_config_frozen,ladder,nominal_tolerance_relative,nominal_tolerance_absolute,npoints,npoints_frozen,natoms,value_ptp,value_ptp_frozen,stability_floor_A1_e,npz_sha256,frozen_realized_Linf,frozen_compressed_bytes,compression_ratio_frozen,Bader_error_resolved_e,Bader_error_fixed_e,frac_voxels_reassigned,n_voxels_reassigned,electron_count_abs_dev_frozen,rmse_density_frozen,codec_config_reproduced,reproduced_realized_Linf,Linf_reproduction_ratio,reproduced_compressed_bytes,compressed_bytes_equal,gate_linf_pass,reproduction_gate_pass,realized_Linf,realized_Linf_over_ptp,rmse_density,electron_count_abs_dev,compression_ratio_reproduced,compression_ratio,V_orig_rms,potential_rel_RMSE,potential_rel_Linf,encode_seconds
mp-1296,ErB6,bulk,dev_bulk,SPERR,"hdf5plugin Sperr absolute, single chunk",base,1e-05,0.002379133378935,216000,216000,7,237.9133378935,237.9133378935,0.1809297569732129,57268b8d2c2cee8b136c6f6d2368c4e105fbbac9bd1f730fce48b4b8bbbd1038,0.0023760246081323,71342,24.221356283815982,0.1573353161953332,2.753647612152577e-06,0.030875,6669,4.759178910518358e-06,0.000769978992622,"hdf5plugin Sperr absolute, single chunk",0.0023760246081323544,1.0000000000000229,71342,True,True,True,0.0023760246081323544,9.986933179828542e-06,0.0007699789926220566,4.759178910518358e-06,24.221356283815986,24.221356283815986,54.41600981342549,1.2421607692075746e-06,4.575885754796686e-06,0.052
mp-1296,ErB6,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,1e-05,0.002379133378935,216000,216000,7,237.9133378935,237.9133378935,0.1809297569732129,57268b8d2c2cee8b136c6f6d2368c4e105fbbac9bd1f730fce48b4b8bbbd1038,0.002379131462618,121414,14.232296110827416,0.1652379951802247,4.210764712908599e-06,0.0333009259259259,7193,1.155155726806356e-05,0.0013157512415259,pysz ABS INTERP_LORENZO,0.0023791314626180338,1.0000000000000142,121414,True,True,True,0.0023791314626180338,9.999991945315116e-06,0.0013157512415259193,1.1551557268063561e-05,14.232296110827416,14.232296110827416,54.41600981342549,3.7089457107927222e-06,1.3783733535734985e-05,0.064
mp-1296,ErB6,bulk,dev_bulk,ZFP,zfpy fixed-accuracy,base,1e-05,0.002379133378935,216000,216000,7,237.9133378935,237.9133378935,0.1809297569732129,57268b8d2c2cee8b136c6f6d2368c4e105fbbac9bd1f730fce48b4b8bbbd1038,0.0004775648251964,208432,8.290473631688032,0.1085031658898612,2.968784942325442e-07,0.027949074074074,6037,1.182292759693837e-06,8.104461793642454e-05,zfpy fixed-accuracy,0.0004775648251964526,1.0000000000001101,208432,True,True,True,0.0004775648251964526,2.007305809017865e-06,8.104461793642454e-05,1.182292759693837e-06,8.290473631688032,8.290473631688032,54.41600981342549,1.3945900720259504e-07,4.7647884239320474e-07,0.012
mp-1079749,Tm(BC)2,bulk,dev_bulk,SPERR,"hdf5plugin Sperr absolute, single chunk",base,1e-05,0.003837751341728,338688,338688,10,383.7751341728,383.7751341728,2.913303598409884,20d123ee37a3218c8e2abd9b7f1f8b7c5a1558d07d680333c8937e2af71b279f,0.0038377131851063,440710,6.1480429307254205,0.1313154371459255,2.5520799007416883e-06,0.0103664729780801,3511,3.534141455929785e-06,0.0015638918903817,"hdf5plugin Sperr absolute, single chunk",0.003837713185106395,1.0000000000000246,440710,True,True,True,0.003837713185106395,9.999900575576146e-06,0.001563891890381734,3.5341414559297846e-06,6.1480429307254205,6.1480429307254205,99.02635265418698,1.0391088977439204e-06,3.843456348747841e-06,0.119
mp-1079749,Tm(BC)2,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,1e-05,0.003837751341728,338688,338688,10,383.7751341728,383.7751341728,2.913303598409884,20d123ee37a3218c8e2abd9b7f1f8b7c5a1558d07d680333c8937e2af71b279f,0.0038377401153582,213200,12.70874296435272,2.913717729855668,1.059813520321029e-05,0.0869029903628118,29433,6.391461194965586e-05,0.0021906150498058,pysz ABS INTERP_LORENZO,0.003837740115351096,0.9999999999981489,213200,True,True,True,0.003837740115351096,9.999970747513571e-06,0.002190615049805801,6.391461194965586e-05,12.708742964352721,12.708742964352721,99.02635265418698,3.859417605074252e-06,1.262903071322796e-05,0.122
mp-1079749,Tm(BC)2,bulk,dev_bulk,ZFP,zfpy fixed-accuracy,base,1e-05,0.003837751341728,338688,338688,10,383.7751341728,383.7751341728,2.913303598409884,20d123ee37a3218c8e2abd9b7f1f8b7c5a1558d07d680333c8937e2af71b279f,0.0005044985725106,365600,7.411115973741794,2.913303702306608,1.2300338791959578e-07,0.1741720993953136,58990,6.72551792035847e-08,8.273021986160622e-05,zfpy fixed-accuracy,0.0005044985725106699,1.0000000000001383,365600,True,True,True,0.0005044985725106699,1.3145681613741877e-06,8.273021986160622e-05,6.72551792035847e-08,7.411115973741794,7.411115973741794,99.02635265418698,6.197014215893957e-08,2.3736101358636316e-07,0.017
mp-1778,BeO,bulk,dev_bulk,SPERR,"hdf5plugin Sperr absolute, single chunk",tight,1e-07,2.0838951782433e-05,110592,110592,2,208.38951782433,208.38951782433,0.0008690062420009,2e09067b91c87ed2a160a00ec585b9ff6abc4836d367fbb87d36860ac67015f5,2.083767459426511e-05,110839,7.982172340060809,0.0003326405766688,6.048540690528625e-08,0.0003164785879629,35,5.003472303144464e-08,7.737661186963628e-06,"hdf5plugin Sperr absolute, single chunk",2.083767459426511e-05,1.0,110839,True,True,True,2.083767459426511e-05,9.999387114965654e-08,7.737661186963628e-06,5.003472303144463e-08,7.982172340060809,7.982172340060809,18.540323935432195,1.383809190167615e-08,5.274597999740408e-08,0.042
mp-1778,BeO,bulk,dev_bulk,SPERR,"hdf5plugin Sperr absolute, single chunk",tight,3e-07,6.2516855347299e-05,110592,110592,2,208.38951782433,208.38951782433,0.0008690062420009,2e09067b91c87ed2a160a00ec585b9ff6abc4836d367fbb87d36860ac67015f5,6.250705419130753e-05,92789,9.534923320652233,0.0005075539000598,2.353460892834392e-08,0.0003255208333333,36,1.4557866023778844e-08,2.25010713202549e-05,"hdf5plugin Sperr absolute, single chunk",6.250705419130753e-05,1.0,92789,True,True,True,6.250705419130753e-05,2.9995296713532526e-07,2.25010713202549e-05,1.4557866023778843e-08,9.534923320652233,9.534923320652233,18.540323935432195,4.6764511830083674e-08,1.49084777377657e-07,0.042
mp-1778,BeO,bulk,dev_bulk,SPERR,"hdf5plugin Sperr absolute, single chunk",tight,1e-06,0.0002083895178243,110592,110592,2,208.38951782433,208.38951782433,0.0008690062420009,2e09067b91c87ed2a160a00ec585b9ff6abc4836d367fbb87d36860ac67015f5,0.0002083682736007,74577,11.863389516875175,0.0006991258120079,6.467381723496146e-07,0.0007957175925925,88,8.202940069423903e-07,7.349624673959588e-05,"hdf5plugin Sperr absolute, single chunk",0.00020836827360071197,1.0000000000000575,74577,True,True,True,0.00020836827360071197,9.998980552196682e-07,7.349624673959588e-05,8.202940069423903e-07,11.863389516875175,11.863389516875175,18.540323935432195,1.7560844070677255e-07,8.951413119963547e-07,0.041
mp-1778,BeO,bulk,dev_bulk,SPERR,"hdf5plugin Sperr absolute, single chunk",tight,3e-06,0.0006251685534729,110592,110592,2,208.38951782433,208.38951782433,0.0008690062420009,2e09067b91c87ed2a160a00ec585b9ff6abc4836d367fbb87d36860ac67015f5,0.0006250008671866,58254,15.187557935935727,0.0005089557305626,1.440298719401767e-06,0.0006058304398148,67,1.1513801947415914e-06,0.000213744218557,"hdf5plugin Sperr absolute, single chunk",0.0006250008671866425,1.000000000000068,58254,True,True,True,0.0006250008671866425,2.999195322835341e-06,0.00021374421855708075,1.1513801947415914e-06,15.187557935935729,15.187557935935729,18.540323935432195,5.349924959821361e-07,1.7181738677157512e-06,0.055
