material_id,codec,system_type,n_rows,hartree_monotone,hartree_n_decreases,hartree_slope,hartree_R2,hartree_local_elasticity_min,hartree_local_elasticity_max,bader_monotone,bader_n_decreases,bader_slope,bader_R2,bader_local_elasticity_min,bader_local_elasticity_max,bader_max_consecutive_jump
mp-1007755,ZFP,bulk,9,True,0,1.0421497544988514,0.9959369206307355,0.5843467505846408,1.6475445413476018,False,3,0.11376802861457895,0.16711172890940207,-1.6300300444034193,0.975236537853868,3.5517824375451506
mp-1009084,SPERR,bulk,10,True,0,1.0073678860178725,0.9986852046220334,0.6497184187806642,1.2503351544040813,False,1,0.6767993035801395,0.9372251024131875,-0.12455332133589567,2.5202895693738263,15.941084764934802
mp-1009084,SZ3,bulk,9,True,0,1.1999497906447176,0.9944434208684066,0.8014276852913048,2.0070754122601553,False,1,0.6019007107788128,0.9660351820513137,-0.07869917592520118,1.4668723349806203,5.672592618485752
mp-1009084,ZFP,bulk,12,True,0,1.0314231388979127,0.9991597271438047,0.8670136388470286,1.2457936876179303,True,0,0.7693749106034836,0.9854412940392763,0.12521600771328062,1.715377076481234,5.528598317868184
mp-1025517,SPERR,bulk,10,True,0,1.0457494913344638,0.9896054744441727,0.06095451412351767,1.8209638609655383,False,3,0.5066517087595355,0.9349447282186327,-0.6093720251010942,1.1228101878636823,3.864474706837908
mp-1025517,SZ3,bulk,10,False,1,1.1567184321781452,0.9835997274987426,-0.1523902367522403,1.8659386238036026,False,2,0.5248262962489972,0.9464695286673421,-0.09769286226891452,1.2076591669304333,3.7682491187717773
mp-1025517,ZFP,bulk,13,True,0,1.0293001539197981,0.9944749632797764,0.41379260857802025,1.573548783278213,False,2,0.460619927596548,0.8661639014429301,-0.6263152881119075,1.8146970909275344,10.381611920047673
mp-1036731,SPERR,bulk,6,True,0,1.0062299383668907,0.9902829665375722,0.722192253647624,1.3043169262358758,True,0,0.4529983009068945,0.9334742120619821,0.12260791113392831,0.8235623836751061,2.694513937157796
mp-1036731,SZ3,bulk,6,True,0,1.3273230722616869,0.9931103459106526,0.859450972327115,1.881882595377684,False,1,0.43471411459763515,0.8305378836782384,-0.11717107597689422,1.4728623126535967,5.0435306770473085
mp-1036731,ZFP,bulk,8,True,0,1.0355665971990176,0.9983894837075095,0.9045294751451276,1.3937826417426091,False,1,0.4221352766649634,0.9068957411974826,-0.03517058861660323,0.9903811954538198,2.9789577757304544
mp-1038991,ZFP,bulk,6,False,1,1.0045134239835,0.9560527420336445,-0.4907485998521952,1.5918841406728677,False,2,0.5299416286168812,0.8066267499002459,-0.6480607768017543,1.4334014355373095,5.003093735949386
mp-1039028,SPERR,bulk,8,False,1,1.0119487031853545,0.9734863057575848,-0.19766633521325447,2.345180423023128,False,1,0.46759387028269944,0.7928450515919152,-0.3705769674127455,2.1950844922483674,11.15063572453863
mp-1039028,SZ3,bulk,9,True,0,1.1147892446641317,0.9860395114949048,0.2734069625296389,1.9503767695641225,False,1,0.5881128404153224,0.9709184958030165,-0.20956524910425653,1.108577742085282,3.4101399864080513
mp-1039028,ZFP,bulk,10,False,1,1.0513005992581246,0.9908745783943165,-0.47795871697261455,2.036183699994474,False,2,0.614654218425382,0.866798514396177,-0.33645681810674904,4.956869253096783,21.130542601192946
mp-1041800,SPERR,bulk,7,True,0,0.9980950994264367,0.9950557875045043,0.5932119634564965,1.3535433367122003,True,0,0.5307984319011623,0.9781484828211109,0.17410124738886598,0.8758905471937141,2.870660493125846
mp-1041800,SZ3,bulk,6,True,0,1.2801628744644822,0.9926123770562653,0.6928586802582892,1.6247144611291946,True,0,0.6231420415083108,0.9505817031352598,0.12920661073942827,1.0939349290968317,3.3261187991350445
mp-1041800,ZFP,bulk,9,True,0,1.0956388063887046,0.9975372104768475,0.8638327379222398,1.520220177662179,False,3,0.5217225101024338,0.7506654923933305,-0.1085197202177374,2.733829626947447,21.16848278710217
mp-1044003,SPERR,bulk,9,True,0,1.0460498098085924,0.9986185753454698,0.8846907211963988,1.3103036606152085,True,0,0.7117954003028147,0.9685606464605377,0.3348263639511211,1.633722807656863,6.018410799328451
mp-1044003,SZ3,bulk,9,True,0,1.1377021414287982,0.9971008089400187,0.956151850029561,1.7762865763367837,True,0,0.7506700059289354,0.9688773190098662,0.32891522828354436,1.746166108986168,8.184979671221502
mp-1044003,ZFP,bulk,11,True,0,1.0284765167555119,0.9986319257612053,0.7166228582214074,1.5774142108805647,False,1,0.6681038706752167,0.9131193570642461,-0.0400162832677984,3.0393908833553875,21.80610690085162
mp-1044463,SPERR,bulk,7,True,0,1.05439575678319,0.9962414016774662,0.7091490872396916,1.439797601265073,True,0,0.43895639188916175,0.9842788419512651,0.17240016273940878,0.6379686704791557,2.1556817852109003
mp-1044463,SZ3,bulk,7,True,0,1.208711452573876,0.9913940912729384,0.7169231561848248,1.6641714662283709,False,1,0.5453084470930478,0.8874035572597665,-0.05272999736537103,1.3003072359389447,4.7854588665256115
mp-1044463,ZFP,bulk,9,True,0,1.0601927123994999,0.9980532467524769,0.7865670646168813,1.597547255111749,False,1,0.361704193058832,0.8678719968225815,-0.7793567454153824,1.2919459567037175,5.854571699259516
mp-1046632,SPERR,bulk,11,True,0,0.9932398149574906,0.9918553600034996,0.2780913956030508,1.5799797194917224,False,1,0.5939807696402561,0.9561359430756824,-0.06809547741840717,1.187177635405575,3.916882217247174
mp-1046632,SZ3,bulk,11,False,1,1.1850307413867478,0.9872686259658483,-0.03416947993778165,2.8566730917094083,False,2,0.5859974389202253,0.8377007411413283,-0.5767496046614049,2.448884210054117,19.078759354001843
