codec,system_type,hartree_log10_bin_left,n,bader_p10,bader_p90,bader_p90_over_p10,bader_min,bader_max,bader_max_over_min
SPERR,bulk,-8.5,33,1.508098967555327e-05,0.0003380734352763,22.41719161338112,7.835380078091705e-08,0.0008396330929727,10715.920409788101
SPERR,bulk,-8.0,99,3.219826225375755e-05,0.00052851916585188,16.414524538205526,1.7445995137421733e-07,0.0011840157846698,6786.748335897911
SPERR,bulk,-7.5,103,8.069855548828997e-05,0.0008734805950818599,10.823992942582587,1.317352786855963e-07,0.004763073279923,36156.39885873476
SPERR,bulk,-7.0,103,0.00015555058604304,0.00115232234386652,7.40802315940924,3.7125797014425643e-07,0.0033230624397173,8950.817778877816
SPERR,bulk,-6.5,137,0.00038202459384184003,0.00581472310049372,15.220808278382838,0.0001176766206008,0.0654499965831414,556.1852154572873
SPERR,bulk,-6.0,174,0.00080617736359542,0.015209919880531844,18.866716639993555,3.606410778189684e-05,0.2031068326875011,5631.827464464683
SPERR,bulk,-5.5,177,0.0012790178050168602,0.01958545900009868,15.312890034271652,0.0003568665005335,0.0610902624812634,171.18519779787704
SPERR,bulk,-5.0,176,0.0036079944701183503,0.0341606516518702,9.468044348402133,0.0007310880801174,0.3961238669989221,541.8278286459157
SPERR,bulk,-4.5,157,0.00474219118604956,0.04146878244993667,8.744645844715903,5.079178523015315e-05,0.0631577472443911,1243.4638191629608
SPERR,bulk,-4.0,166,0.0119919048196881,0.0652580410657472,5.441841145921012,0.0032538567789899,0.1904589047026861,58.53327839518817
SPERR,bulk,-3.5,122,0.021203529304343372,0.11562806356537542,5.4532461037837665,0.0075285472715433,0.8411713143846233,111.73089362991927
SPERR,bulk,-3.0,66,0.0343137878365737,0.16955953547371222,4.941440341161796,0.0165326145150555,0.2754950739800976,16.663732994513165
SPERR,bulk,-2.5,14,0.0560841287849509,0.17919903027905962,3.1951825616509217,0.0494612355488452,0.2603551509208479,5.2638222242494415
SPERR,slab,-9.5,15,9.814321733078713e-05,0.0012069123909588199,12.297461034836244,4.753191482365082e-05,0.0016198356732726,34.078906336561175
SPERR,slab,-9.0,37,0.0001260336080955,0.0018032424483322399,14.307631714914175,2.808784751096028e-05,0.0024757412717217,88.14279096166518
SPERR,slab,-8.5,42,0.00019454063052018,0.00271794105573838,13.971071485020419,6.966024897891998e-05,0.0032507203725149,46.6653567876079
SPERR,slab,-8.0,37,0.00042452615350818,0.0044197617745115585,10.411047088589788,0.0001516297549075,0.0096677392904602,63.758853243269385
SPERR,slab,-7.5,60,0.00091081967765101,0.020143125756818408,22.115382716332196,0.0001095305856342,0.225823988730589,2061.7436437779565
SPERR,slab,-7.0,71,0.002429031079572,0.0284921738282672,11.729851490120735,0.0003265339546185,0.218881375646001,670.3173515346269
SPERR,slab,-6.5,53,0.0033908145456585403,0.05019326731759221,14.80271676369255,0.0005407279196374,0.3356475336250604,620.7327593702541
SPERR,slab,-6.0,48,0.01086794334385795,0.08119056615686464,7.470646799309064,0.0054802841473167,0.161311212277571,29.434826359606458
SPERR,slab,-5.5,39,0.02509604147745318,0.11855851946780654,4.724192043367559,0.000893198587665,0.1479602388289173,165.6521191056907
SPERR,slab,-5.0,18,0.04769338511142567,0.15897791168736752,3.3333325222344503,0.004246176948019,0.1932758192169705,45.51760832933279
SZ3,bulk,-8.5,10,1.4711902629471754e-07,0.00035885940426075985,2439.2453736192588,2.2944259825408153e-09,0.0006502502764273,283404.33789335925
SZ3,bulk,-8.0,70,3.0093376586037834e-05,0.0004622789898270801,15.361486222903936,2.5040492346306564e-08,0.0008658019649194,34576.07593914201
SZ3,bulk,-7.5,75,5.979697830920117e-05,0.0006565279745135009,10.979283453399495,1.206811504061989e-07,0.001600325386212,13260.773375340626
SZ3,bulk,-7.0,70,8.564229242136179e-05,0.00101637413067529,11.867666102101857,5.759916419378897e-07,0.0031395062712924,5450.610812215465
SZ3,bulk,-6.5,80,0.00023129284483712002,0.0014328672325112902,6.1950348421730785,0.0001189395082317,0.0057647762975836,48.46813630970739
SZ3,bulk,-6.0,96,0.00031183456933484997,0.0035838995779586,11.492951488999879,2.3781788137000603e-05,0.0263047871707335,1106.0895429392679
SZ3,bulk,-5.5,151,0.000690162708322,0.0121178715082557,17.557992285207657,0.0001031696678168,2.913717729855668,28241.999722530873
SZ3,bulk,-5.0,154,0.00142527100829236,0.014926708086089964,10.47289111982562,2.903052797975647e-05,0.3695352697785146,12729.195625935512
SZ3,bulk,-4.5,149,0.00293498116645444,0.021519160369553626,7.331958588187304,0.0009829378532,0.1070003404144799,108.85768623737025
SZ3,bulk,-4.0,146,0.0051348170970744005,0.0305162696120495,5.943010049848975,0.0024458031245337,0.1434232362366003,58.640548291859915
SZ3,bulk,-3.5,134,0.009021902940894999,0.059093015781359934,6.5499502896999395,0.0010107370956902,0.977755272050476,967.3685434319577
SZ3,bulk,-3.0,128,0.01832360038186317,0.09082667844052829,4.956813974748608,0.0005857961993012,0.2532165886938192,432.260552383035
SZ3,bulk,-2.5,97,0.03786686476979846,0.1294163786905311,3.417668177106385,0.0151028678686698,0.5739640929608049,38.003649237471436
SZ3,bulk,-2.0,37,0.09510478114362854,0.2655152790866846,2.7918184122173604,0.0456724206269285,0.5694468494009604,12.46806807224958
SZ3,slab,-7.5,27,0.00010977260455358,0.00134534241230246,12.255720976774295,5.440172248150077e-05,0.0023541856881328,43.27410200905564
