material_id,system_type,codec,nominal_tolerance_relative,stage,failure_class,detail
nomad-FPTBoTAPMQA8,slab,SZ3,0.001,gate,reproduction_mismatch,Linf ratio 1; bytes 73436 vs frozen 73435
mp-1303576,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 207565 vs frozen 207566
nomad--maT57oivXnQ,slab,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 2024249 vs frozen 2024250
nomad--maT57oivXnQ,slab,SZ3,1e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 602272 vs frozen 602271
mp-771903,bulk,SZ3,1e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 1383914 vs frozen 1383915
mp-1192831,bulk,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 2440127 vs frozen 2440126
mp-1197354,bulk,SZ3,0.0001,gate,reproduction_mismatch,Linf ratio 1; bytes 368427 vs frozen 368426
mp-864652,bulk,SZ3,3e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 931188 vs frozen 931187
mp-1114492,bulk,SZ3,0.0003,gate,reproduction_mismatch,Linf ratio 1; bytes 138026 vs frozen 138027
mp-1097014,bulk,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 2498954 vs frozen 2499001
mp-1261118,bulk,SZ3,0.0001,gate,reproduction_mismatch,Linf ratio 1; bytes 253579 vs frozen 253580
nomad-0JxkdxfFTtnZ,slab,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 2569930 vs frozen 2569929
nomad--O7C25L6mxPu,slab,SZ3,1e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 1608881 vs frozen 1608884
nomad-ZvTQv6REajO4,slab,SZ3,3e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 2865325 vs frozen 2865324
nomad-8Hl4JATTj5Fp,slab,SZ3,1e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 2969261 vs frozen 2969260
nomad-7OdXN2bFHmUg,slab,SZ3,1e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 2383193 vs frozen 2383194
nomad-7OdXN2bFHmUg,slab,SZ3,1e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 1225763 vs frozen 1225762
nomad-1xNwoQ8q8XXI,slab,SZ3,3e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 2250762 vs frozen 2250763
nomad-1xNwoQ8q8XXI,slab,SZ3,0.003,gate,reproduction_mismatch,Linf ratio 1; bytes 37482 vs frozen 37483
nomad-E0rr8BI_hRlR,slab,SZ3,3e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 3032796 vs frozen 3032797
nomad-Ek0B30z0bVyP,slab,SZ3,3e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 3233276 vs frozen 3233277
nomad-M8BV9zowas8w,slab,SZ3,1e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 2134045 vs frozen 2134046
nomad-19wSfSWChOSI,slab,SZ3,3e-07,gate,reproduction_mismatch,Linf ratio 1; bytes 1965542 vs frozen 1965543
nomad-1Few3hG0Dkat,slab,SZ3,3e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 473972 vs frozen 473970
nomad-AUrOZMeLzRg5,slab,SZ3,3e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 2562234 vs frozen 2562235
nomad-AUrOZMeLzRg5,slab,SZ3,3e-05,gate,reproduction_mismatch,Linf ratio 1; bytes 553723 vs frozen 553722
nomad-4U-g_t9kIPQS,slab,SZ3,1e-06,gate,reproduction_mismatch,Linf ratio 1; bytes 3680104 vs frozen 3680103
