codec,system_type,n_rows,n_materials,hartree_slope,hartree_R2,hartree_pearson,hartree_spearman,bader_slope,bader_R2,bader_pearson,bader_spearman,median_potential_rel_RMSE,median_Bader_error_e
SPERR,bulk,1530.0,186.0,0.9670075849577465,0.9356185943168571,0.9672737949085856,0.9692409876818818,0.5797018741883367,0.7551536207922478,0.8689957541853979,0.8811618485872644,6.3558527038941505e-06,0.005733460058499
SPERR,slab,426.0,68.0,0.9858760782685729,0.8937414938881136,0.9453790212862323,0.9602970183686498,0.6447240826033216,0.7734174504811335,0.8794415560349266,0.8818169576766287,1.4203722439963132e-07,0.0048806373299416506
SZ3,bulk,1403.0,186.0,1.1210699953186203,0.936094798413268,0.9675199214555056,0.9694988307580235,0.5974260985521563,0.7602806688970397,0.8719407485013188,0.8841285020869627,2.986583980946121e-05,0.0054917771113505
SZ3,slab,461.0,68.0,0.9393079214292018,0.9253669335242531,0.9619599438252373,0.9631177650040238,0.5316672721523139,0.7432423290446879,0.86211503237369,0.8615023192406953,2.039490111701678e-05,0.0075170420982644
ZFP,bulk,1839.0,186.0,0.9973627931862861,0.9299587796472627,0.9643437041051608,0.9628260800104592,0.6656311378089673,0.6849518279718272,0.8276181655641852,0.8575481607173769,1.5869388949063317e-06,0.0022117016936125
ZFP,slab,611.0,68.0,0.9142004098673109,0.8521533195797888,0.9231215085674194,0.9173404544667805,0.5728138053058645,0.6894465225204544,0.8303291651631024,0.835437055882695,2.733284387586313e-07,0.0031414280501929
SPERR,ALL,1956.0,254.0,0.987870210697364,0.7863838679752743,0.8867828753281581,0.8904582841416341,0.5870229942185351,0.7496207664499763,0.8658064255074437,0.8764690272070386,2.643412792258949e-06,0.0056312550568655
SZ3,ALL,1864.0,254.0,1.0693763652801487,0.9104707293665188,0.9541858987464235,0.9552354787817469,0.5841549348778683,0.7571053034714446,0.870117982500905,0.879468525845671,2.5906971261401505e-05,0.005890207456236651
ZFP,ALL,2450.0,254.0,0.9675539749650437,0.8625861950024856,0.9287551857203734,0.9258341007092996,0.6460287917645129,0.6840226896596406,0.8270566423526506,0.8536281761095484,9.405195828386022e-07,0.0024531569148380002
