material_id,formula,system_type,corpus,codec,codec_config_frozen,ladder,nominal_tolerance_relative,nominal_tolerance_absolute,npoints,npoints_frozen,natoms,value_ptp,value_ptp_frozen,stability_floor_A1_e,npz_sha256,frozen_realized_Linf,frozen_compressed_bytes,compression_ratio_frozen,Bader_error_resolved_e,Bader_error_fixed_e,frac_voxels_reassigned,n_voxels_reassigned,electron_count_abs_dev_frozen,rmse_density_frozen,codec_config_reproduced,reproduced_realized_Linf,Linf_reproduction_ratio,reproduced_compressed_bytes,compressed_bytes_equal,gate_linf_pass,reproduction_gate_pass,realized_Linf,realized_Linf_over_ptp,rmse_density,electron_count_abs_dev,compression_ratio_reproduced,compression_ratio,V_orig_rms,potential_rel_RMSE,potential_rel_Linf,encode_seconds
mp-1778,BeO,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,tight,1e-07,2.0838951782433e-05,110592,110592,2,208.38951782433,208.38951782433,0.0008690062420009,2e09067b91c87ed2a160a00ec585b9ff6abc4836d367fbb87d36860ac67015f5,2.083866854718508e-05,194610,4.546200092492677,6.838648602069952e-06,4.752011228958963e-08,0.000587745949074,65,4.774468287394029e-08,1.169546736213572e-05,pysz ABS INTERP_LORENZO,2.083866854718508e-05,1.0,194611,False,True,False,2.083866854718508e-05,9.999864083735653e-08,1.169546736213196e-05,4.774468287394029e-08,4.546176732044951,4.546176732044951,18.540323935432195,1.9806236133606012e-08,6.793559191187494e-08,0.108
mp-1007755,HfAu,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.0003,0.1091975081320199,301056,301056,4,363.9916937734,363.9916937734,0.0017092764859629,f823cdd1fe2729f835d17bb6c13388792f9e804e5b13fb505003fd685e495c2a,0.1091957381278518,37553,64.13463638058211,0.0420607674442088,0.0010018638676871,0.0115260948129251,3470,0.0025043046126782,0.0463753273029553,pysz ABS INTERP_LORENZO,0.1091957381278092,0.9999999999996104,37554,False,True,False,0.1091957381278092,0.0002999951372401,0.0463753273029538,0.0025043046126782,64.1329285828407,64.1329285828407,106.96215110283924,9.392452044488092e-05,0.0003519686950053,0.045
mp-11419,ThGa2,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.0003,0.3411125412893999,373248,373248,3,1137.041804298,1137.041804298,0.0328107202440346,bf861d47205c50dcec957b6c5c4978db7520ff3337d194e21d86cca77ace0cb6,0.3411121414651497,25557,116.8362483859608,0.0370856326045885,0.0019587321484255,0.0242278592249657,9043,0.0008807756617343,0.1245625208516054,pysz ABS INTERP_LORENZO,0.3411121414651488,0.9999999999999974,25556,False,True,False,0.3411121414651488,0.0002999996483645,0.1245625208516051,0.0008807756617272,116.8408201596494,116.8408201596494,177.52702976736722,0.0002338300508478,0.0007310266560849,0.045
mp-560030,CaF2,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,tight,1e-07,0.0001226681710275,344064,344064,6,1226.6817102758,1226.6817102758,9.210060489373006e-06,918aae25e4cce8283c7beb7beaa549a8b25dd8619feb9e8fae7bb1a01476a690,0.000122668125154,541508,5.083049557901268,1.4771635659549531e-05,9.27583165832857e-08,2.9064360119047617e-05,10,1.1824538859173117e-07,6.87934214383371e-05,pysz ABS INTERP_LORENZO,0.0001226681290067,1.0000000314078508,541509,False,True,False,0.0001226681290067,9.999996574430233e-08,6.87934214413822e-05,1.1824517542891046e-07,5.083040171077489,5.083040171077489,178.3761680130866,1.6844100147814463e-08,7.446000144972138e-08,0.211
mp-1246480,CoGeN2,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,tight,3e-07,0.0004370069605116,368640,368640,8,1456.6898683722,1456.6898683722,0.0001625568721106,6de31a4b84e5222de52146d26c15c541f300a3886e370fe0b3cdec6278b95299,0.0004370062269316,502763,5.865825448571195,0.0002329129457745,2.4481834337564123e-07,0.0001654730902777,61,1.4620579236179765e-07,0.0002455511820936,pysz ABS INTERP_LORENZO,0.0004370062263134,0.9999999985855704,502764,False,True,False,0.0004370062263134,2.9999949598182125e-07,0.0002455511820877,1.4620547972299394e-07,5.865813781416331,5.865813781416331,157.8739939382158,1.516602599284236e-07,3.937102282203289e-07,0.185
mp-1224859,GaNi4Ge3,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.0003,0.9631154845779,373248,373248,8,3210.384948593,3210.384948593,0.000177357784409,995999fe48a9b13ea1e10b1db12595fe4f986fb191355b92ce9eb77f91815642,0.9631045598175164,43884,68.04265791632486,0.0380771106873751,0.0037275746161107,0.0228105709876543,8514,0.0177915813565334,0.3869905266197057,pysz ABS INTERP_LORENZO,0.963104559817495,0.9999999999999778,43883,False,True,False,0.963104559817495,0.0002999965970559,0.3869905266197057,0.0177915813565334,68.04420846341408,68.04420846341408,337.8765107617538,0.0003796999373469,0.0013890208155289,0.061
mp-631399,OsPtCl2,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.0003,0.1668036618739199,373248,373248,4,556.0122062464,556.0122062464,2.6101888650487133e-08,cc24b6ab6002c86aeca6a15c57e7e4c99cea86e80b751594ecf098f4a4b1d14e,0.1668033489656686,40382,73.94344014659997,0.011796613320838,0.0010993871924345,0.0076303155006858,2848,0.001239189114699,0.0784873829084775,pysz ABS INTERP_LORENZO,0.166803348965665,0.9999999999999788,40381,False,True,False,0.166803348965665,0.0002999994372277,0.0784873829084771,0.0012391891146918,73.94527129095367,73.94527129095367,97.76438183830344,0.0001575717192895,0.0005414797727075,0.073
mp-1222924,LaCeOs4,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,1e-05,0.01016200456249,512000,512000,6,1016.200456249,1016.200456249,0.002732483730746,e7a1230f97fd4ad7a4c8abfafe391bf5a449f03f0026188869f379ebe9c5a30e,0.0101620037077765,279528,14.653272659626229,0.0305057462875417,2.8784168245366004e-05,0.00585546875,2998,8.924746684613183e-05,0.0056412262464631,pysz ABS INTERP_LORENZO,0.0101620037078049,1.0000000000028002,279527,False,True,False,0.0101620037078049,9.999999158940504e-06,0.005641226246463,8.924746684613183e-05,14.65332508129805,14.65332508129805,254.02764493583436,1.7954183259243322e-06,8.297642759094081e-06,0.152
mp-1184653,HW3,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,base,0.0003,0.1746061908593999,508032,508032,8,582.0206361979999,582.0206361979999,0.0041822047069146,0b09a032f4a52bf66da490cb897fe028f3ccee1d0d3273a44896ad79a9f81b4a,0.1746049297946754,64262,63.24509041112944,0.0138889186209496,0.0007852857964358,0.0125917265054169,6397,0.0027977310686679,0.0852543349278077,pysz ABS INTERP_LORENZO,0.1746049297946896,1.0000000000000815,64263,False,True,False,0.1746049297946896,0.0002999978332989,0.0852543349278091,0.0027977310686679,63.24410625087531,63.24410625087531,231.01109165437063,8.524410190531555e-05,0.0004253211380939,0.097
mp-2242118,BaNdMgCo2O5,bulk,dev_bulk,SZ3,pysz ABS INTERP_LORENZO,tight,1e-06,0.0028888067213569,504000,504000,10,2888.806721357,2888.806721357,5.463212499812187e-05,7c0edaf6e20b1ca443d997bba409202f370400c5d3fec75d928314fb7b4abbec,0.0028888057371503,430727,9.360917704253506,0.000381206789136,7.070186901714237e-06,0.0005496031746031,277,1.6828638138122187e-05,0.0016431770850296,pysz ABS INTERP_LORENZO,0.0028888057344182,0.9999999990542798,430726,False,True,False,0.0028888057344182,9.999996583576554e-07,0.0016431770850401,1.6828637342314323e-05,9.36093943713637,9.36093943713637,424.8799987394936,9.960736402523542e-07,2.8521050898632857e-06,0.255
