material_id,domain,formula,npoints,natoms,value_ptp,electrons_per_cell,float32_field_rel_error,floor_resolved_e,floor_fixed_e,n_voxels_reassigned,frac_voxels_reassigned,bader_seconds,sha256,corpus
mp-1104614,bulk,CaFeSeO,1152000,16,6771.107976900001,144.0000044866015,3.6002231950234215e-08,3.949121918367382e-09,3.949121918367382e-09,0,0.0,1.04,6c480fb645826ba29e8836d41123b4868512412dd6f6e06a2964cb8953ec575d,dev_bulk
mp-1105871,bulk,Lu5Pb3,1881600,16,3634.279331385,174.00000108601216,3.3588158437338046e-08,0.0003896181122655,5.494619870205497e-09,22,1.16921768707483e-05,0.8,21caf98fcb0667ec616afadcc037408d172580438caa4840a7ca2e1b72c2e90b,dev_bulk
mp-1111338,bulk,NaLi2VF6,884736,10,1917.4329481375,65.99999920473573,3.1828850921561284e-08,0.0002349849335256,4.348182258695488e-09,81,9.1552734375e-05,0.51,9a85d0f0895126fda99ca89549e7ad5c74fd329c2146128c23de50eb9b81b1cf,dev_bulk
mp-1112138,bulk,Cs2NaTlBr6,1728000,10,4967.150140770001,79.99999837131685,4.909631133295979e-08,0.0012818559043612,1.1378773479009394e-09,1205,0.0006973379629629,3.07,d0ac601decd2b8cff980619a69e270c10c20b37e069239c55b8a8411fe28f78c,dev_bulk
mp-1114492,bulk,Rb3AuCl6,2744000,10,1643.41725950464,79.99999967593538,3.7138696603714754e-08,2.2647359543270795e-09,2.2647359543270795e-09,0,0.0,2.85,05e8ca7670b7af86bb4b9cdafeab42948a204776fdda23a2f07ecb74b5d4b15c,dev_bulk
mp-11306,bulk,LuCd3,663552,8,1817.766215257,90.0000001503547,3.3563687690352576e-08,0.0002335585305495,2.0251276211524782e-09,24,3.616898148148148e-05,0.38,fb3084090703c0d24e8783d2dba6ed69b874821b9834b16b53d9914a7f466d15,dev_bulk
mp-11419,bulk,ThGa2,373248,3,1137.041804298,38.00000175022779,5.1531746531293964e-08,8.935190365377821e-09,8.935190365377821e-09,0,0.0,0.61,22c0e68f82030bc1bcf6af1e3ef62f53f7d8815ef20cd41e893c5a6c48814ea7,dev_bulk
mp-1173587,bulk,NaMn2FeAg(PO4)3,2621440,40,12676.45114773,290.00000415828737,3.850939773338655e-08,6.385545293641215e-06,6.461657875433957e-09,2,7.62939453125e-07,1.31,1cd2326241d9cbfba6f49f2511cbac607da94788b2e7d171ee4fb6b57851a308,dev_bulk
mp-1174037,bulk,Li5Co3O8,537600,16,1227.5171155283,90.00000018507968,4.9609797137303356e-08,4.771009365356349e-09,4.771009365356349e-09,0,0.0,0.29,e81fe601e7fcca43b5621bbed30553832af1cb6242e3648f967bb7b31784bab9,dev_bulk
mp-1175088,bulk,Li7Mn2(CoO4)3,829440,24,3721.3538675535,146.00000160619902,3.279552392526816e-08,5.812236025803941e-09,5.812236025803941e-09,0,0.0,0.42,9f578cec6fcbbc39cf47fbed30fc78a99e2d48f4ca81dbc67160c85d9df0bb02,dev_bulk
