material_id,domain,stability_floor_A1_e,npoints,natoms,corpus
mp-1193567,bulk,0.0002738073303332,1959552,28,dev_bulk
mp-1194734,bulk,3.098067363005441e-05,1728000,50,dev_bulk
mp-1197354,bulk,0.0078416565267671,2332800,32,dev_bulk
mp-1199510,bulk,0.0069415229115392,3200000,48,dev_bulk
mp-1200041,bulk,0.0015540627280747,1806336,36,dev_bulk
mp-1200429,bulk,6.309121131398143e-05,1290240,32,dev_bulk
mp-1205681,bulk,0.0001780077489179,884736,10,dev_bulk
mp-1206294,bulk,0.002677258230209,884736,6,dev_bulk
mp-1206630,bulk,0.0001084162153581,604800,9,dev_bulk
mp-1207275,bulk,0.0004398184233682,806400,9,dev_bulk
mp-1209117,bulk,0.0428522944628131,1555200,20,dev_bulk
mp-1209933,bulk,0.0002172780026672,2457600,13,dev_bulk
mp-1211145,bulk,0.0002065810757674,1290240,24,dev_bulk
mp-1211797,bulk,0.002458505274804,2116800,18,dev_bulk
mp-1213918,bulk,1.069548698495737e-07,497664,6,dev_bulk
mp-1215324,bulk,0.0130742704163857,819200,12,dev_bulk
mp-1218887,bulk,0.0002032166029408,497664,4,dev_bulk
mp-1219705,bulk,3.822001167108624e-05,301056,2,dev_bulk
mp-1222924,bulk,0.002732483730746,512000,6,dev_bulk
mp-1223327,bulk,0.0162104879217395,864000,16,dev_bulk
mp-1223939,bulk,3.52542162058711e-05,1080000,15,dev_bulk
mp-1224859,bulk,0.000177357784409,373248,8,dev_bulk
mp-1225264,bulk,0.0005417757195598,1259712,14,dev_bulk
mp-1226636,bulk,0.0053351040971492,338688,6,dev_bulk
mp-1228245,bulk,0.0001834717249256,2540160,48,dev_bulk
mp-1232323,bulk,0.0022105047095415,1259712,7,dev_bulk
mp-12406,bulk,5.745773436505175e-05,1105920,8,dev_bulk
mp-1245841,bulk,0.0037436215130863,1638400,22,dev_bulk
mp-1246480,bulk,0.0001625568721106,368640,8,dev_bulk
mp-1246536,bulk,0.0009241491524383,1769472,46,dev_bulk
mp-1246548,bulk,0.0001451752940315,322560,5,dev_bulk
mp-1247173,bulk,0.0011592776795188,1259712,14,dev_bulk
mp-1261118,bulk,0.0006804672343356,2744000,28,dev_bulk
mp-1296,bulk,0.1809297569732129,216000,7,dev_bulk
mp-1300873,bulk,4.820518049619693e-05,672000,10,dev_bulk
mp-1303576,bulk,6.015829531325068e-05,2048000,40,dev_bulk
mp-1369222,bulk,0.0025002482946323,1382400,26,dev_bulk
mp-1388393,bulk,0.0019966841144842,884736,14,dev_bulk
mp-1399089,bulk,0.0002221887182347,537600,10,dev_bulk
mp-1666665,bulk,0.0002487673408735,1843200,48,dev_bulk
mp-17103,bulk,0.0022314285178062,2352000,39,dev_bulk
mp-1778,bulk,0.0008690062420009,110592,2,dev_bulk
mp-1841520,bulk,0.0004543457353074,1152000,23,dev_bulk
mp-19133,bulk,0.0012493818795942,884736,12,dev_bulk
mp-20888,bulk,0.0003284703347112,839808,12,dev_bulk
mp-21054,bulk,0.0069272674568239,921600,9,dev_bulk
mp-21079,bulk,0.0060007066605827,393216,5,dev_bulk
mp-214,bulk,3.139012960673426e-08,175616,2,dev_bulk
mp-21588,bulk,0.0804076255218637,2048000,40,dev_bulk
mp-2194,bulk,0.0005228009083682,491520,3,dev_bulk
mp-2216496,bulk,0.0002421720812666,2293760,37,dev_bulk
mp-2217743,bulk,7.25863680743899e-05,829440,11,dev_bulk
mp-2227467,bulk,0.0010396357791968,432000,8,dev_bulk
mp-2229431,bulk,0.0004403207488881,1632960,17,dev_bulk
mp-2230770,bulk,7.70487921633034e-05,903168,19,dev_bulk
mp-2233790,bulk,3.9294763928054977e-05,1097600,13,dev_bulk
mp-2240057,bulk,0.000554428881867,1756160,10,dev_bulk
mp-2242118,bulk,5.463212499812187e-05,504000,10,dev_bulk
mp-22490,bulk,0.0012240404902144,2744000,11,dev_bulk
mp-24407,bulk,3.4131931091252454e-05,1555200,32,dev_bulk
mp-24460,bulk,5.860799309953535e-05,2457600,54,dev_bulk
mp-26341,bulk,2.642669002028697e-05,1254400,22,dev_bulk
mp-2647013,bulk,0.0030025199409777,165888,2,dev_bulk
