material_id,domain,seed,npoints,natoms,probe_linf,probe_rel_error,floor_f32_resolved_e,floor_noise_resolved_e,floor_noise_fixed_e,n_voxels_reassigned_f32,n_voxels_reassigned_noise,n_axis_order_flips_f32,n_axis_order_flips_noise,corpus
mp-10761,bulk,3,327680,4,6.1031249970255885e-05,3.8702264386892254e-08,6.157678811291589e-09,0.0016631708205121,3.1269458133920125e-08,0,77,330,2842,dev_bulk
mp-10761,bulk,4,327680,4,6.1031249970255885e-05,3.8702264386892254e-08,6.157678811291589e-09,0.0004785410658882,3.5192968539377034e-08,0,24,330,2836,dev_bulk
mp-1077125,bulk,20260905,884736,6,3.814574213834021e-06,5.755322520958625e-08,6.586828860122296e-10,0.0011472192113535,7.32732985397888e-10,6,115,0,0,dev_bulk
mp-1077125,bulk,1,884736,6,3.814574213834021e-06,5.755322520958625e-08,6.586828860122296e-10,0.0005889099798208,2.409411337112033e-09,6,75,0,0,dev_bulk
mp-1077125,bulk,2,884736,6,3.814574213834021e-06,5.755322520958625e-08,6.586828860122296e-10,0.0008779294326197,1.307087771351689e-09,6,85,0,0,dev_bulk
mp-1077125,bulk,3,884736,6,3.814574213834021e-06,5.755322520958625e-08,6.586828860122296e-10,0.0005758732338847,2.0127308708595133e-09,6,69,0,0,dev_bulk
mp-1077125,bulk,4,884736,6,3.814574213834021e-06,5.755322520958625e-08,6.586828860122296e-10,0.000797677949718,3.2035645247674442e-09,6,99,0,2,dev_bulk
mp-1077596,bulk,20260905,512000,6,6.0921875046915375e-05,4.48024595997488e-08,0.0021947427802615,0.0068647596734798,4.480598647660372e-08,63,1297,70,556,dev_bulk
mp-1077596,bulk,1,512000,6,6.0921875046915375e-05,4.48024595997488e-08,0.0021947427802615,0.0018057447811958,3.5879486048884246e-08,63,1407,70,581,dev_bulk
mp-1077596,bulk,2,512000,6,6.0921875046915375e-05,4.48024595997488e-08,0.0021947427802615,0.0048879724900814,3.4146310667892976e-08,63,1274,70,558,dev_bulk
mp-1077596,bulk,3,512000,6,6.0921875046915375e-05,4.48024595997488e-08,0.0021947427802615,0.0165911978422954,4.2263861743663256e-08,63,1428,70,577,dev_bulk
mp-1077596,bulk,4,512000,6,6.0921875046915375e-05,4.48024595997488e-08,0.0021947427802615,0.0015188478705816,2.2307478531047312e-08,63,1322,70,566,dev_bulk
mp-1078524,bulk,20260905,653184,9,0.0002440375001242,4.9953443077859927e-08,7.5443153946253e-09,0.0058046787048748,1.3049301905709856e-07,0,204,0,107,dev_bulk
mp-1078524,bulk,1,653184,9,0.0002440375001242,4.9953443077859927e-08,7.5443153946253e-09,0.0049046988573699,1.2508359503726754e-07,0,172,0,104,dev_bulk
mp-1078524,bulk,2,653184,9,0.0002440375001242,4.9953443077859927e-08,7.5443153946253e-09,0.0026748226071386,1.1120681975285153e-07,0,104,0,108,dev_bulk
