material_id,stratum,domain,stability_floor_a1_e,n_seeds,floor_min_over_seeds_e,stability_floor_a_e,threshold_e,status,reason,status_under_protocol_a
aflow-B0.667N0.667_ICSD_162872,ext_bulk,bulk,8.16104e-07,5,3.987388e-09,1.263061e-10,0.01,ELIGIBLE,,ELIGIBLE
aflow-B1C1F6K1_ICSD_1194,ext_bulk,bulk,1.768633e-05,5,1.213829e-05,3.963504e-09,0.0001,ELIGIBLE,,ELIGIBLE
aflow-B1C1F6K1_ICSD_1194,ext_bulk,bulk,1.768633e-05,5,1.213829e-05,3.963504e-09,0.001,ELIGIBLE,,ELIGIBLE
aflow-B1C1F6K1_ICSD_1194,ext_bulk,bulk,1.768633e-05,5,1.213829e-05,3.963504e-09,0.01,ELIGIBLE,,ELIGIBLE
aflow-B1Ni2_ICSD_75792,ext_bulk,bulk,0.03018846,5,0.01600467,0.000200462,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.019e-02 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-B1Ni2_ICSD_75792,ext_bulk,bulk,0.03018846,5,0.01600467,0.000200462,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.019e-02 >= threshold 0.001,ELIGIBLE
aflow-B1Ni2_ICSD_75792,ext_bulk,bulk,0.03018846,5,0.01600467,0.000200462,0.01,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 3.019e-02 >= threshold 0.01,ELIGIBLE
aflow-B6Co21Mn2_ICSD_613157,ext_bulk,bulk,0.02185808,5,0.01510081,0.01363338,0.0001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.186e-02 >= threshold 0.0001,NON_EVALUABLE_BADER_UNSTABLE
aflow-B6Co21Mn2_ICSD_613157,ext_bulk,bulk,0.02185808,5,0.01510081,0.01363338,0.001,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.186e-02 >= threshold 0.001,NON_EVALUABLE_BADER_UNSTABLE
aflow-B6Co21Mn2_ICSD_613157,ext_bulk,bulk,0.02185808,5,0.01510081,0.01363338,0.01,NON_EVALUABLE_BADER_UNSTABLE,A.1 floor 2.186e-02 >= threshold 0.01,NON_EVALUABLE_BADER_UNSTABLE
