kind,n,median_domain_abs_share,q25,q75,fraction_domain_gt_integrand,max_closure_e
codec,70,0.9898412227508977,0.9573409857528363,0.9991268841748868,1.0,0.0
float32,12,0.020801679672973895,0.009585865937062064,0.9998733433882808,0.4166666666666667,0.0
noise,60,0.9999165925695992,0.9989719627153231,0.9999979027819227,0.8333333333333334,0.0
spatial_control,324,0.9961188660514034,0.9843138137399431,0.9995064737371959,1.0,0.0
