relative_tolerance,codec,n_cases,median_fixed_basin_underestimation,p10_fixed_basin_underestimation,p90_fixed_basin_underestimation,median_domain_abs_share_at_max_total_atom,fraction_domain_dominates_at_max_total_atom,median_reassigned_voxel_fraction
0.0001,ZFP,12,1011.3091889658357,87.56343926342035,11538.8884490985,0.9988343302416527,1.0,0.0016104109829695767
0.0001,SZ3,12,20.114563381969568,3.8302531990328545,30.068455004224685,0.9850242952809312,1.0,0.012162021019345238
0.0001,SPERR,12,585.3010819756662,118.26343214014828,1147.1492643671004,0.9992365002951393,1.0,0.019453615864748676
0.001,ZFP,12,171.84441309258864,27.1647489071182,1122.0314487109968,0.9972364512149269,1.0,0.005694574882422105
0.001,SZ3,12,3.9986676375062347,2.3781113980104283,28.80065191077797,0.9421529235996795,0.9166666666666666,0.05119352471891535
0.001,SPERR,12,158.98432621955118,46.33542423817248,466.4714644751516,0.9981751688377662,1.0,0.11815601539723032
0.01,ZFP,10,43.66575183450934,13.149247038725756,327.9137748137205,0.995661237055341,1.0,0.0375767009755291
0.01,SZ3,12,3.07491263789648,1.2629366266467361,6.830515278524718,0.8469888415448723,0.9166666666666666,0.1376176873352302
0.01,SPERR,12,40.29092222189742,10.150423881078282,229.0944661872835,0.9926512961001365,1.0,0.23651768973214285
