caliper_dex,pair,pair_label,n_pairs,n_materials,median_abs_log10_linf_difference_dex,p95_abs_log10_linf_difference_dex,median_linf_ratio_larger_over_smaller,p95_linf_ratio_larger_over_smaller,resolved_bader_ratio,resolved_ci_low,resolved_ci_high,resolved_n_usable_pairs,resolved_n_usable_materials,fixed_bader_ratio,fixed_ci_low,fixed_ci_high
0.05,zfp_vs_sz3,ZFP/SZ3,198,147,0.023441680469784287,0.04661943718892626,1.0554606580293244,1.1133185330483162,0.5832020469351656,0.548933984767441,0.6497245708625241,198,147,0.054575247490040835,0.04866278297709758,0.06337407497696261
0.05,zfp_vs_sperr,ZFP/SPERR,208,143,0.025571276645647567,0.04666815140378462,1.0606480134351812,1.1134434211753588,0.6019497057689979,0.508368214622625,0.7074451480543041,208,143,0.6992010534857073,0.6283503735080213,0.8172014931714409
0.05,sz3_vs_sperr,SZ3/SPERR,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383,1.0325070260736608,0.9762380496022375,1.0716556526466035,1848,254,10.774690116694826,10.114998517284501,11.41847427280604
0.1,zfp_vs_sz3,ZFP/SZ3,457,214,0.05596151361607665,0.09641966120426074,1.1375264758376409,1.2485895259655577,0.5574478963397762,0.5250540093860762,0.5983823929964643,457,214,0.05668039062099043,0.052032653059565684,0.06061019242301162
0.1,zfp_vs_sperr,ZFP/SPERR,465,206,0.05525212066702334,0.09665102724697404,1.1356699139891673,1.249254873999007,0.6007474002367663,0.5338566672348355,0.661802670550281,465,206,0.7089687772911449,0.6654597070485814,0.8012109188254893
0.1,sz3_vs_sperr,SZ3/SPERR,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383,1.0325070260736608,0.9762380496022375,1.0716556526466035,1848,254,10.774690116694826,10.114998517284501,11.41847427280604
0.2,zfp_vs_sz3,ZFP/SZ3,1089,244,0.1130122124314803,0.19035352503174768,1.2972157483889486,1.5500780197005004,0.5907402009496618,0.5649825441092167,0.6196242167348158,1089,244,0.0636669146173186,0.05900006312825229,0.07005058675703683
0.2,zfp_vs_sperr,ZFP/SPERR,1091,245,0.11244930833383313,0.19032111218048636,1.2955354713623326,1.5499623388944046,0.5911392517065933,0.5579006231887289,0.6235274663045247,1091,245,0.7267162043981021,0.6665986911588614,0.819341583275555
0.2,sz3_vs_sperr,SZ3/SPERR,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383,1.0325070260736608,0.9762380496022375,1.0716556526466035,1848,254,10.774690116694826,10.114998517284501,11.41847427280604
0.3,zfp_vs_sz3,ZFP/SZ3,1621,248,0.1463610032521201,0.2707416800928356,1.4007512001921487,1.86526989162531,0.5986676293319056,0.5680945824647124,0.6240260862806625,1621,248,0.06780416063799409,0.061370202346576225,0.07524416267145642
0.3,zfp_vs_sperr,ZFP/SPERR,1622,248,0.14520687659257192,0.2709433042024891,1.3970336888395272,1.866136067187585,0.6003133629927346,0.5735247985028349,0.6511810120023431,1622,248,0.7258042760971063,0.659636012983371,0.7940975003548213
0.3,sz3_vs_sperr,SZ3/SPERR,1848,254,4.687518522103473e-06,0.00047987601783744274,1.0000107934685212,1.0011055660964383,1.0325070260736608,0.9762380496022375,1.0716556526466035,1848,254,10.774690116694826,10.114998517284501,11.41847427280604
