solver,control,n,median_log2_control_over_codec,q25,q75,fraction_increased
baderkit_ongrid,global,36,0.25668709729666184,-0.17102073019955258,0.8088723666279376,0.5277777777777778
baderkit_ongrid,shift,36,0.017301999356286853,-0.2859349084990037,0.6260378295874489,0.5
baderkit_ongrid,stratified,36,0.26307405184570243,-0.0682865613420505,0.7230565483285998,0.6388888888888888
henkelman_ongrid,global,36,0.24071135835250357,-0.14494489264252358,0.7871316964571908,0.6111111111111112
henkelman_ongrid,shift,36,0.03696947643081413,-0.16606732357147888,0.664739139273975,0.5555555555555556
henkelman_ongrid,stratified,36,0.1508891151285468,-0.14977699424414367,0.6899155111425039,0.6111111111111112
henkelman_neargrid,global,36,0.06530602939643314,-0.36421290883829827,0.7403807502007309,0.5
henkelman_neargrid,shift,36,0.00014869514384860665,-0.2676639061726207,0.4573810203128862,0.5
henkelman_neargrid,stratified,36,0.072275899210884,-0.24069240563944835,0.4744443814273044,0.5555555555555556
