cohort,threshold_e,stratum,codec,n_admitted,n_non_evaluable,n_certified,frac_certified,ratio_median,ratio_median_ci_lo,ratio_median_ci_hi,ratio_p10,ratio_q1,ratio_q3,ratio_p90,n_row_failure_affected
development,0.0001,overall,SPERR,46,208,39,0.8478260869565217,4.209599418378553,4.139213097290357,4.568729273371551,3.8183848408209866,4.130729231899553,5.396888299227092,13.358784065138474,0
development,0.0001,overall,SZ3,46,208,38,0.8260869565217391,6.368937016297619,5.979732966401625,7.280680117197397,4.834357818848945,5.683397937300645,7.783805678276848,8.404071643985757,0
development,0.0001,overall,ZFP,46,208,46,1.0,7.835678298315639,7.19363445930339,8.05278083470534,5.926108673871395,6.601985883974088,9.130015431088484,10.580895820729568,0
development,0.0001,bulk,SPERR,42,144,38,0.9047619047619048,4.228142191859552,4.14763786136106,4.568729273371551,3.8116393123913497,4.132528435528364,5.78095131291958,13.474410136987748,0
development,0.0001,bulk,SZ3,42,144,36,0.8571428571428571,6.328752559383995,5.817850238263286,7.227225608187092,4.819950567054053,5.5970480748939195,7.413083074922782,8.319775077434382,0
development,0.0001,bulk,ZFP,42,144,42,1.0,7.6252823426310385,6.889582143327914,7.966574101586885,5.891130786999748,6.448214997910688,8.578306101471886,9.857577027979064,0
development,0.0001,slab,SPERR,4,64,1,0.25,3.878422417640687,3.878422417640687,3.878422417640687,3.878422417640687,3.878422417640687,3.878422417640687,3.878422417640687,0
development,0.0001,slab,SZ3,4,64,2,0.5,8.422915163246524,8.348485664376664,8.497344662116383,8.363371564150636,8.385700413811595,8.460129912681452,8.48245876234241,0
development,0.0001,slab,ZFP,4,64,4,1.0,10.54656681334518,9.082348200480922,11.57297391033959,9.520539335169092,10.177826037201347,10.80585471052155,11.266126230412373,0
development,0.001,overall,SPERR,143,111,137,0.958041958041958,5.781631108127479,5.570405395461362,6.038901545601022,4.492780329340386,5.171885608347634,7.249337567507434,27.62408277057582,0
development,0.001,overall,SZ3,143,111,136,0.951048951048951,13.18840316685555,12.152123098056446,14.341532014818336,8.189082632593756,10.123469340858131,16.475468269881997,20.160898368823503,0
development,0.001,overall,ZFP,143,111,142,0.993006993006993,13.825450546623413,13.088592153264406,14.789972738715768,9.815762020596592,10.973043669528629,17.303662367561852,21.57405491905781,0
development,0.001,bulk,SPERR,103,83,102,0.9902912621359223,6.173813693153701,5.96245766443465,6.529514253647941,4.986064093137012,5.423727503876714,11.875944720608304,31.902905244210512,0
development,0.001,bulk,SZ3,103,83,102,0.9902912621359223,12.911501498108237,12.042047816863892,14.256585860687856,8.143148478683532,10.12299087134491,16.678001869817923,20.532079685705725,0
development,0.001,bulk,ZFP,103,83,102,0.9902912621359223,13.531291314600908,12.823999664414504,14.52142549393734,9.687427384163435,10.7931014985185,16.04946982111075,19.73969899901049,0
development,0.001,slab,SPERR,40,28,35,0.875,5.096185360655501,4.8866050009440345,5.387465199377425,4.041079126195223,4.422439998006625,5.505001024499743,5.719879132153712,0
development,0.001,slab,SZ3,40,28,34,0.85,14.1467943206105,10.764534646613907,15.429845702103107,8.496388156178101,10.203263194729335,16.10828354351166,18.607753737015877,0
development,0.001,slab,ZFP,40,28,40,1.0,15.261278344177242,12.975546717437163,18.411086361659642,10.872096746306413,11.496118304734757,18.838846124539558,22.207147190707566,0
development,0.01,overall,SPERR,229,25,208,0.9082969432314411,10.31719934502204,9.387861625630865,10.666299836249015,7.139073140011061,8.273223843155444,25.634963920268653,103.08424268845387,0
development,0.01,overall,SZ3,229,25,207,0.9039301310043668,57.6605994022736,49.69620411169223,66.54780837108545,26.173467310940254,39.52836893200566,78.74028091788442,109.77763258012874,0
