material_id,floor_x0.1,floor_x1,floor_x10,log10_floor_x10_over_x0.1
aflow-Al8Cu4U1_ICSD_601801,2.1438523990368346,2.1459435677132737,2.147892466028231,0.0008176531337830479
aflow-B0.667N0.667_ICSD_162872,3.9839953558384877e-10,3.987388197401742e-09,2.459722721503965e-06,3.790567329420282
aflow-Pa1_ICSD_648329,8.500773418518293e-10,8.499325687694181e-09,8.49923544876674e-08,1.9999214198317812
mp-30772,0.1921989577939182,0.1924925225180374,0.1940059493376456,0.004064019739040917
mp-675781,8.316791138440749e-06,0.0003252272979015,0.000942402772095,2.054280759850632
mp-849339,0.0001153247977612,0.0003532279129778,0.0012478083003744,1.0342251685322366
nomad--kEaPn7WzevZ,2.731390049959259e-05,3.9951809279514805e-05,0.0003077693007114,1.051841574761303
nomad-4CA6DwNaypkT,0.0099485783654884,0.0193173609322769,0.0207747487825766,0.31977475555272633
nomad-8Hl4JATTj5Fp,4.145006517752847e-05,0.0006021127918547,0.001809568151657,1.6400497262926905
nomad-8tU1rEspJ26T,0.0131439406582529,0.0216904549476186,0.0695395915904448,0.7235065460254079
nomad-9xtsrVZD5SSK,0.0003802879097847,0.0006039770535233,0.0008497233335837,0.3491650258114507
nomad-FPTBoTAPMQA8,3.049729833914938e-05,3.053131451835611e-05,0.0003325929448347,1.0376516642078508
nomad2d--poJgwk5QnYH,0.0010862160643636,0.0014157849928988,0.0018547209982582,0.23236236745665406
nomad2d-2A-QzAIQ7zUi,0.0040902891312635,0.0039794560905255,0.003980563499212,-0.011809451858387427
nomad2d-2KcZ7wrCEYsv,1.757065524188306e-06,4.063796888331694e-06,1.2798508661759913e-05,0.8623714092692459
nomad2d-3Api7db6z5lU,0.000125401346807,0.0001373683661149,0.0002800956442854,0.3490041544139223
nomad2d-48ChW422P29g,0.0001505289940624,0.000149941587999,0.0002102245677617,0.14506330882062338
nomad2d-54HlfCLZu2_8,1.5118802281222088e-06,1.7104270551016043e-06,9.594838616067136e-06,0.802520286845967
