threshold_e,codec,n,dq_over_floor_median,dq_over_floor_p10,dq_over_floor_p90
0.0001,sperr,39,1.231690327620191,0.5434649219027915,3.203313844111937
0.0001,sz3,38,1.3289160499237984,0.7533104572172209,2.8598127259280552
0.0001,zfp,46,1.0912840565144433,0.3380096005330854,3.2474598118701756
0.001,sperr,137,3.5456730697739105,0.9153689075426182,19.91477586836971
0.001,sz3,136,2.783355916416901,0.9019170528668854,16.58706707800334
0.001,zfp,142,3.3859937167935223,0.8221566915302989,17.824902105142268
0.01,sperr,208,14.220998752017191,1.5306068399299337,127.07479462442318
0.01,sz3,207,14.612667097776974,1.7333037043679174,128.3806340526152
0.01,zfp,225,10.697766664795035,1.3076445585931042,129.86415722288848
