solver,ratio,n,median_ratio,q25,q75
baderkit_ongrid,SZ3/ZFP,12,6.183371192408705,3.3470614438646993,12.805368109708244
baderkit_ongrid,SPERR/ZFP,12,6.68848922791611,2.651646349784564,13.35511626581941
henkelman_ongrid,SZ3/ZFP,12,4.826167107922831,2.5443426444425397,6.9706853563764355
henkelman_ongrid,SPERR/ZFP,12,5.445890030998534,1.3246598125009719,6.952800089499393
henkelman_neargrid,SZ3/ZFP,12,3.174456042891583,1.2268383868810604,10.622248517893452
henkelman_neargrid,SPERR/ZFP,12,2.8718156005791307,0.9220786445135434,8.517112011381352
