codec_a,codec_b,nominal_relative,n,median_qoi_ratio,qoi_ci_lo,qoi_ci_hi,fraction_a_worse,median_linf_ratio,linf_q25,linf_q75
SZ3,ZFP,0.0001,238,4.777742305329134,4.177681362788817,5.636617058436942,0.9663865546218487,5.850636644320296,4.839026849849329,6.945392680256849
SZ3,ZFP,0.001,210,7.769127129668851,6.488806857700894,8.666385202376263,0.9809523809523809,6.488436508767315,5.662095581631269,7.7354445927278555
SZ3,ZFP,0.01,49,11.797492721464947,9.640045353212399,12.751877706301952,1.0,8.464630353799459,7.325828636824671,9.792615040987943
SPERR,ZFP,0.0001,237,5.583220615984605,4.23415045375687,7.01959643651745,0.9493670886075949,5.9004817250047505,4.847191407902113,6.9489485041765064
SPERR,ZFP,0.001,181,5.31782466549271,4.593507128358517,6.127375857139256,0.9668508287292817,6.578603618833142,5.547677381443647,7.877689151628573
SPERR,ZFP,0.01,90,5.948085375661444,4.909097287975284,7.819643413181224,0.9666666666666667,7.97135068451896,6.863751026045276,9.614354553944018
