material_id,system_type,codec_a,codec_b,linf_a,linf_b,linf_ratio,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b
mp-1007755,bulk,SPERR,ZFP,0.0363972772424006,0.0457162637499983,0.796155990381037,0.09900183285958364,0.0067450427854787,0.0076823768746834,0.877989051501287,base,base,0.0001,0.001
mp-1009084,bulk,SPERR,ZFP,0.6964933484221802,0.8443886949999992,0.8248492104956248,0.08362543694717954,0.0176963398409526,0.0224674463563729,0.7876435781912094,base,base,0.0003,0.003
mp-1009084,bulk,SPERR,ZFP,2.3189203548363366,2.802988618999997,0.8273028078378862,0.08233550168926873,0.0253768198046735,0.0319377952213151,0.7945701833461928,base,base,0.001,0.01
mp-1025517,bulk,SPERR,ZFP,1.3821947950784548,1.275597810000022,1.08356629671419,0.03485548825972401,0.0342533417623869,0.0241645902351788,1.4175014527049958,base,base,0.001,0.01
mp-1025517,bulk,SPERR,ZFP,4.146540633344934,4.657900030000008,0.8902167514627672,0.050504237733349444,0.1157611700153147,0.0254792287969944,4.5433545472526315,base,base,0.003,0.03
mp-1036731,bulk,SPERR,ZFP,11.89430984855801,10.599988980000036,1.122105869260816,0.0500338339849411,0.0324950747206012,0.0351801429863272,0.923676596005606,base,base,0.001,0.01
mp-1036731,bulk,SPERR,ZFP,35.63319052448787,44.55963353000004,0.7996742275830795,0.0970869004799444,0.0718818660702362,0.0706558738823233,1.0173515961313389,base,base,0.003,0.03
mp-1041800,bulk,SPERR,ZFP,0.6873807795234228,0.8581278799999836,0.8010237116680511,0.09635462786810582,0.0109275290949764,0.0052070274685611,2.098611762844434,base,base,0.0001,0.001
mp-1041800,bulk,SPERR,ZFP,20.62098146846324,20.77733809999995,0.9924746552814331,0.0032805749547324403,0.0466414009474469,0.0232201651416463,2.0086593124091814,base,base,0.003,0.03
mp-1041800,bulk,SPERR,ZFP,68.73776538897496,63.461494879999975,1.0831412893590349,0.03468511146068942,0.1144494248643042,0.4915356661146095,0.23284052969946328,base,base,0.01,0.1
mp-1044003,bulk,SPERR,ZFP,17.806679038810387,20.241482840000003,0.8797121821342998,0.05565939393683195,0.1904589047026861,0.3100623922340464,0.6142599343648254,base,base,0.001,0.01
mp-1044463,bulk,SPERR,ZFP,0.1874572957801294,0.2220269456250037,0.8442997549348749,0.0735033367843978,0.0075518563917489,0.0051890350427106,1.4553488904179825,base,base,0.0001,0.001
mp-1044463,bulk,SPERR,ZFP,5.623610695059972,4.803924649999999,1.1706284142196053,0.06841906137137643,0.0334807152046536,0.0134955478753528,2.480871137199263,base,base,0.003,0.03
mp-1044463,bulk,SPERR,ZFP,18.745666279094507,18.86503058,0.9936727215787269,0.0027566323198215947,0.0721737679225054,0.0790106526570424,0.9134688234482315,base,base,0.01,0.1
mp-1046632,bulk,SPERR,ZFP,0.6724985895157101,0.7313426850000013,0.9195396403201993,0.03642954407544574,0.021033879702613,0.0051625486633772,4.074320858576315,base,base,0.0003,0.003
mp-1046632,bulk,SPERR,ZFP,2.241655954682585,2.5320606600000133,0.8853089462250772,0.052905147125059004,0.0239240780433416,0.0180107193723726,1.3283244021912723,base,base,0.001,0.01
mp-1065204,bulk,SPERR,ZFP,2.7951665399795047,3.394198179,0.8235130633424056,0.08432950725011767,0.0298556811873549,0.0432168855818044,0.6908337050535875,base,base,0.003,0.03
mp-1065204,bulk,SPERR,ZFP,9.306629259643202,10.139563199999998,0.9178530747402615,0.03722683289067574,0.0599327387128241,0.4277259085909417,0.14011949594136264,base,base,0.01,0.1
mp-1069461,bulk,SPERR,ZFP,0.0786653497784968,0.0957882550000004,0.8212421217872324,0.08552878361876037,0.0023895232212947,0.0139728422065497,0.17101196635389063,base,base,0.0003,0.003
mp-1069461,bulk,SPERR,ZFP,0.2617127067899218,0.3273000899999942,0.7996108610600334,0.0971213155213978,0.0136014849976766,0.048570075345268,0.2800383755015472,base,base,0.001,0.01
mp-1069461,bulk,SPERR,ZFP,0.782388738692859,0.6321926990000009,1.2375795227158388,0.09257311481130995,0.0901229040468365,0.073733253435964,1.2222830249190972,base,base,0.003,0.03
mp-10761,bulk,SPERR,ZFP,0.0473059713491252,0.0561050909999991,0.8431671797685162,0.07408630668897143,0.0164576016414752,0.0139304625459413,1.1814109967418271,base,base,3e-05,0.0003
