fixed_denominator_floor_e,median_ratio,ci_lo,ci_hi
1e-15,52.80413907491485,49.28875724873914,57.75689583416764
1e-12,52.80413907491485,49.28875724873914,57.75689583416764
1e-10,52.80413907491485,49.28875724873914,57.75689583416764
1e-08,52.80413907491485,49.28875724873914,57.75689583416764
1e-06,52.63847858286978,49.201837961939134,57.57567085917553
1e-05,45.01576768932775,42.15549193841248,47.73587131854
0.0001,21.767317952114,20.63869958508895,23.087235816365002
