codec,ladder,n,median,q25,q75,p05,p95
SPERR,base,1384,0.9999832516076843,0.9999260533514014,0.99999107543184,0.9931018384806164,0.9999966129055442
SPERR,tight,572,0.999990167510485,0.9999834826201706,0.9999939152006919,0.9999447376264403,0.9999978106983819
SZ3,base,1365,0.9999981284336116,0.9999943889376895,0.9999994049285276,0.9999657038048814,0.9999999163396982
SZ3,tight,572,0.9999993377014516,0.9999986101338683,0.9999997555147732,0.999995343185857,0.9999999585219613
ZFP,base,1878,0.1509779068753711,0.12486390868487048,0.18360258549175187,0.09332114608352433,0.23536514551085677
ZFP,tight,572,0.18555762839703444,0.15214126266491942,0.2174749456981753,0.13385387275820282,0.25190352166616264
