tau_e,codec_a,codec_b,n_materials,median_qoi_ratio,ci_lo,ci_hi,fraction_a_worse
0.0001,SZ3,ZFP,46,2.3676518330975984,2.080108218542482,2.8643720491445306,1.0
0.0001,SPERR,ZFP,46,2.0012722154655327,1.7181530711175452,2.267415767196391,0.9347826086956522
0.001,SZ3,ZFP,143,2.0778011230890407,1.956978130174804,2.1622659667227664,0.972027972027972
0.001,SPERR,ZFP,143,2.036110621729235,1.8834511411138544,2.2126286948177363,0.951048951048951
0.01,SZ3,ZFP,225,1.9515456007328353,1.7882794350319544,2.0781745680876953,0.9555555555555556
0.01,SPERR,ZFP,226,1.9198919125825742,1.7919474140074179,2.0465615602232403,0.8893805309734514
