tau_e,codec,n,median_paired_ratio,ci_lo,ci_hi,ratio_of_median_errors,fraction_resolved_gt_fixed
0.0001,SPERR,46,95.73025892689662,80.33713045427044,113.09498039168133,91.70823097557081,1.0
0.0001,SZ3,45,5.893880450982782,4.567823936046769,8.33124008495392,6.094817033187899,1.0
0.0001,ZFP,46,123.55364962805142,106.08274919696494,160.8905091693681,133.05359920202557,1.0
0.001,SPERR,106,33.946553613859734,25.976556021565116,39.8306911396898,31.47759221130036,1.0
0.001,SZ3,130,2.6259354856347796,2.454489870529787,2.9529792432843935,2.9021773733633953,0.9615384615384616
0.001,ZFP,142,58.47154770121989,51.16377022875348,67.30186202875383,56.127108951023786,0.9929577464788732
0.01,SPERR,85,10.335273368903094,8.593659273098954,13.92255384061585,11.152091085348857,1.0
0.01,SZ3,44,1.6572383286518286,1.3866980739881551,1.7631389956583712,1.5253364418041717,0.9090909090909091
0.01,ZFP,193,29.77625465103995,26.265202467962496,33.32094788271791,29.785266610161113,1.0
