material_id,system_type,codec_a,codec_b,max_match_dex,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b,linf_a,linf_b,linf_ratio_a_over_b,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio_a_over_b,compression_a,compression_b
mp-1007755,bulk,SZ3,ZFP,0.2,base,base,3e-05,0.0003,0.0109197120808985,0.0159303193828108,0.6854672413336003,0.16401329543026777,0.0170838672306476,0.0105169060661403,1.624419494023053,22.7083537620215,14.94816285998014
mp-1007755,bulk,SZ3,ZFP,0.2,base,base,0.0001,0.001,0.0363990177230846,0.0457162637499983,0.7961940617486692,0.09898106583682709,0.0111193350550529,0.0076823768746834,1.4473821366009387,37.07414990071271,20.794032324906755
mp-1007755,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,0.1091957381278518,0.16768497999999,0.651195701176446,0.18628847507449164,0.0420607674442088,0.0272861312621035,1.5414705382812968,64.13463638058211,30.1025897410259
mp-1007755,bulk,SZ3,ZFP,0.2,base,base,0.001,0.01,0.3639846736822179,0.3067297859999982,1.1866623011376536,0.07432714556053155,0.0962538166137658,0.0400014774103283,2.40625653963754,128.40946896992963,36.60700389105058
mp-1009084,bulk,SZ3,ZFP,0.2,tight,tight,3e-07,3e-06,0.0006966486740118,0.000946737961911,0.7358410690594974,0.13321597680909036,0.0005744935033726,8.186116773867269e-05,7.017900174678292,9.263831359722904,8.957760901100777
mp-1009084,bulk,SZ3,ZFP,0.2,tight,base,3e-06,1e-05,0.0069664774414093,0.0045577273691392,1.528498059927843,0.18426489182680061,0.0007084281320084,0.0003495295777078,2.0268045315484926,18.789962970835337,11.37345046452207
mp-1009084,bulk,SZ3,ZFP,0.2,base,base,1e-05,0.0001,0.0232216078999627,0.031405892390623,0.7394028996576478,0.13111885062138295,0.0040186241923585,0.0017881614577417,2.247349742921811,29.52747004825681,17.335406718317806
mp-1009084,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,0.6966477492110812,0.8443886949999992,0.8250320656070387,0.08352917187968618,0.0259032192491024,0.0224674463563729,1.1529222697689872,140.07110789887,41.373928465858704
mp-1009084,bulk,SZ3,ZFP,0.2,base,base,0.001,0.01,2.3221625751740333,2.802988618999997,0.8284595090516262,0.08172871286343986,0.0303640201949546,0.0319377952213151,0.9507237423417952,262.67257467549393,62.19878536513109
mp-1025517,bulk,SZ3,ZFP,0.2,tight,tight,1e-06,3e-06,0.0013822466807482,0.0009727862763639,1.4209150707951896,0.1525681205824445,0.0006267119782474,0.0006338139623762,0.9887948443070357,8.21522576172141,7.156514236410699
mp-1025517,bulk,SZ3,ZFP,0.2,base,base,3e-05,0.0001,0.0414672826565869,0.0307991977812491,1.346375413772389,0.12916617236729633,0.0044817809362633,0.0013698238928352,3.271793520105063,25.2456326132033,14.295760082730093
mp-1025517,bulk,SZ3,ZFP,0.2,base,base,0.0001,0.001,0.1382243298253627,0.1951735750000125,0.7082123172942538,0.14983652422234706,0.0123274833569322,0.0090224712553048,1.3663089643742785,42.310272269336224,23.89628349178911
mp-1025517,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,0.4146726883536615,0.6433540500000277,0.6445481898398614,0.19074460693873915,0.0301640614810114,0.0208981575868456,1.443383769868701,69.25466184247148,34.97287420941672
mp-1025517,bulk,SZ3,ZFP,0.2,base,base,0.001,0.01,1.3822304883614294,1.275597810000022,1.0835942783261798,0.03486670317367421,0.0268169053058162,0.0241645902351788,1.1097603991966791,140.72715704641053,43.10271955655638
mp-1025517,bulk,SZ3,ZFP,0.2,base,base,0.003,0.03,4.146215132289512,4.657900030000008,0.8901468699596596,0.05053833093862181,0.1010527797868281,0.0254792287969944,3.9660847112746427,304.4049239238474,66.03821656050955
mp-1036731,bulk,SZ3,ZFP,0.2,base,base,3e-05,0.0001,0.3569930815432087,0.278342975625037,1.28256544193924,0.10807953389925551,0.0105039208707715,0.0041412489727603,2.53641375823155,26.70238610608877,13.537174505222117
mp-1036731,bulk,SZ3,ZFP,0.2,base,base,0.001,0.01,11.899763136083209,10.599988980000036,1.1226203308829448,0.050232903116436134,0.0345785272774907,0.0351801429863272,0.982898997622883,127.20419737360872,40.03038805856191
mp-1036731,bulk,SZ3,ZFP,0.2,base,base,0.003,0.03,35.69933138342989,44.55963353000004,0.8011585499103152,0.09628152818886515,0.1743978630911415,0.0706558738823233,2.468271263357375,243.5009579100145,62.47659904072452
mp-1038991,bulk,SZ3,ZFP,0.2,base,base,3e-05,0.0003,0.0966325448258089,0.1228634773749988,0.7865034173733425,0.10429938601823929,0.0184731506667077,0.0276604380005416,0.667854596747383,55.56247308520455,28.96891495601173
mp-1038991,bulk,SZ3,ZFP,0.2,base,base,0.0001,0.001,0.3221072835921177,0.4720200662499962,0.682401674469322,0.1659599161724583,0.0183146049036224,0.0167712761353193,1.0920221428501165,90.37489814880996,41.78901168632013
mp-1038991,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,0.9663282944856172,1.4513701780000012,0.6658041546762554,0.17665349913528092,0.1248263389356889,0.0839082665764934,1.4876524570066443,144.54322229589152,61.31843575418994
mp-1039028,bulk,SZ3,ZFP,0.2,tight,base,1e-06,1e-05,0.002901470611718,0.0038807142285151,0.7476640744114278,0.12629348689340114,0.0010157094439531,0.0003905957976275,2.6004105782053317,16.34160816385612,12.1642064432712
mp-1039028,bulk,SZ3,ZFP,0.2,base,base,3e-05,0.0003,0.0870438795420796,0.1163937212499988,0.7478399917734436,0.12619131406529027,0.0072839648904849,0.0043690079066234,1.6671896792501648,54.3230939758208,29.87344068949876
mp-1039028,bulk,SZ3,ZFP,0.2,base,base,0.0001,0.001,0.2901478741887331,0.4539807875000008,0.6391192803257838,0.19441808088236806,0.0248393399326349,0.0091786564579638,2.7062065179575616,85.58168749069348,43.125347885402455
mp-1041800,bulk,SZ3,ZFP,0.2,base,base,0.0001,0.001,0.6873973184326374,0.8581278799999836,0.8010429849134496,0.09634417853519947,0.0088515003375455,0.0052070274685611,1.6999142775775498,49.82463253928029,23.76559326950972
mp-1041800,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,2.0621852085971497,2.640361700000085,0.7810237546609934,0.10733575695330144,0.0118895600903154,0.0106589844527462,1.1154496137061305,93.26578243297092,34.98263394636452
mp-1041800,bulk,SZ3,ZFP,0.2,base,base,0.003,0.03,20.62176768351942,20.77733809999995,0.9925124953094673,0.0032640169479287717,0.1066679934437955,0.0232201651416463,4.593765496201496,336.1280175066676,66.34272756721737
mp-1044003,bulk,SZ3,ZFP,0.2,tight,tight,3e-07,1e-06,0.0053423213417893,0.0041176853027309,1.2974088472099135,0.1130768551182908,0.000264543652892,0.0001006935420742,2.6272156827799407,9.931382295177364,8.16896352286552
mp-1044003,bulk,SZ3,ZFP,0.2,base,base,1e-05,3e-05,0.1780769523788876,0.1320190593750112,1.348873058344137,0.12997108039487504,0.0029962939106482,0.0008489607565831,3.529366802192004,30.20231347066685,15.486115049433828
mp-1044003,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,5.342299549279687,7.342303379999976,0.727605394763694,0.13810408955987652,0.0309367400855169,0.0142190622858011,2.1757229459786367,137.39779445679065,45.85502378953261
mp-1044003,bulk,SZ3,ZFP,0.2,base,base,0.001,0.01,17.80730027921561,20.241482840000003,0.8797428735816673,0.05564424251117717,0.2532165886938192,0.3100623922340464,0.8166633394954976,289.2017121927541,70.11897629033639
mp-1044463,bulk,SZ3,ZFP,0.2,base,base,0.0001,0.001,0.1874594851001063,0.2220269456250037,0.844309615539725,0.07349826467435316,0.003654504879341,0.0051890350427106,0.7042744651483398,38.71333606376611,20.61911026391387
mp-1044463,bulk,SZ3,ZFP,0.2,base,base,0.0003,0.003,0.5623785809006279,0.7082871759999989,0.7939979713830492,0.10018060716770613,0.008853373442009,0.0070819477908559,1.2501325487657982,68.73790318069432,29.884431300828822
mp-1044463,bulk,SZ3,ZFP,0.2,base,base,0.001,0.01,1.874591593454852,2.773962240000003,0.6757812224058428,0.17019387991658913,0.0211505286007041,0.0207044504357121,1.0215450376901856,135.15475483402628,45.13133924898631
