term,beta_log10,multiplicative,ci_low_mult,ci_high_mult,p
"C(codec, Treatment(reference='ZFP'))[T.SZ3]",0.2884443723886563,1.9428728185396558,1.840621067354104,2.0508049462057083,4.2508774275594635e-128
"C(codec, Treatment(reference='ZFP'))[T.SPERR]",0.23520488477084012,1.7187190267540404,1.6137033733458797,1.8305688280253718,1.319379288544163e-63
"logL_c:C(codec, Treatment(reference='ZFP'))[T.SZ3]",-0.04257219336814209,0.9066252424977561,0.8420824274363993,0.9761150494928204,0.009279121811742662
"logL_c:C(codec, Treatment(reference='ZFP'))[T.SPERR]",-0.03708090513327899,0.9181615353623087,0.8630393688118833,0.9768043446029927,0.006872449876163681
