codec,n,median,p90,frac_gt2,frac_gt10
SPERR,1384,100.10392781071982,821.6626764653128,0.9992774566473989,0.9147398843930635
SZ3,1365,7.957661678616214,58.47904276682322,0.8864468864468864,0.4315018315018315
ZFP,1878,106.88676771681784,1622.8853806130508,0.996272630457934,0.9659211927582535
