codec,relative_tolerance,domain_abs_fraction,domain_over_total_abs
sperr,0.0001,0.9992365002951393,0.9997139268391948
sperr,0.001,0.9981751688377665,1.0016649484715336
sperr,0.01,0.9926512961001366,0.9989011101730902
sz3,0.0001,0.985024295280934,0.9967559589672008
sz3,0.001,0.9421529235996805,0.97552353098685
sz3,0.01,0.8469888415448728,0.8469888415448723
zfp,0.0001,0.9988343302416527,0.9998761268549212
zfp,0.001,0.9972364512149269,0.9983127453432937
zfp,0.01,0.9956612370553422,0.9999261856922175
