codec_a,codec_b,max_match_dex,n_pairs,n_materials,median_qoi_ratio_material,qoi_ratio_ci_lo,qoi_ratio_ci_hi,median_linf_ratio_material,median_abs_match_dex,fraction_materials_a_worse
SZ3,ZFP,0.1,457,214,1.8142869784377536,1.6966221736449363,1.9505519953312493,0.951369500142196,0.053798593448940925,0.9018691588785047
SZ3,ZFP,0.15,833,241,1.736900560416788,1.6500887106592057,1.8794134621659024,0.9091032884567996,0.0917408652830812,0.950207468879668
SZ3,ZFP,0.2,1089,244,1.7141924530974886,1.6251719990926596,1.8022397139401156,0.8693989913675562,0.10982835867593349,0.9508196721311475
SZ3,ZFP,0.25,1430,247,1.6945524024053311,1.6257531731266428,1.7884272001636214,0.832733057078035,0.13216741371523666,0.9473684210526315
SPERR,ZFP,0.1,465,206,1.7226595988111724,1.5377582496409818,1.8926560242772972,0.9505587762448036,0.05411575138581291,0.7766990291262136
SPERR,ZFP,0.15,840,241,1.6810111193310808,1.543022543679222,1.783197030193277,0.9122717784439054,0.09253873275738833,0.8340248962655602
SPERR,ZFP,0.2,1091,245,1.7364303946319481,1.6172387660603869,1.8457128499682756,0.8757742686737395,0.11014076517695726,0.8367346938775511
SPERR,ZFP,0.25,1431,248,1.681196291158364,1.5625156574634322,1.830402542721667,0.8461371714179706,0.13407088267109366,0.8669354838709677
