codec,n_rows,n_materials,support_lo,support_hi,center_log10_linf,beta_log10,effect_x,ci_lo_x,ci_hi_x,p,eligibility_tau_e
SZ3,1487,46,1.004897096379409e-05,70.17855457045788,-1.4229507915815247,0.4397471809623032,2.752625830537927,2.398296599240482,3.1593043851807825,4.994018316445292e-47,0.0001
SPERR,1487,46,1.004897096379409e-05,70.17855457045788,-1.4229507915815247,0.29368030618587193,1.9664382179450761,1.6619122427259376,2.3267650153731285,3.3447211652352287e-15,0.0001
SZ3,4415,143,1.004897096379409e-05,70.17855457045788,-1.2854839874789414,0.3492501560290492,2.2348591434136047,2.0854998181942075,2.394915284732133,6.128745861000015e-115,0.001
SPERR,4415,143,1.004897096379409e-05,70.17855457045788,-1.2854839874789414,0.3017791222918526,2.0034528326996472,1.8566513211455185,2.1618616307427003,1.2355716548353573e-71,0.001
SZ3,5975,229,1.004897096379409e-05,70.17855457045788,-0.9904045023931248,0.3055234135215438,2.020800373688942,1.9154124635852487,2.131986832046433,3.796227764397049e-146,0.01
SPERR,5975,229,1.004897096379409e-05,70.17855457045788,-0.9904045023931248,0.24729032303935128,1.7672188001891558,1.6574962294679738,1.8842047615061215,6.7847446153568355e-68,0.01
