material_id,system_type,codec_a,codec_b,max_match_dex,ladder_a,ladder_b,nominal_rel_a,nominal_rel_b,linf_a,linf_b,linf_ratio_a_over_b,abs_log10_linf_diff,qoi_a,qoi_b,qoi_ratio_a_over_b,compression_a,compression_b
mp-1007755,bulk,SPERR,ZFP,0.2,base,base,3e-05,0.0003,0.010919518923373,0.0159303193828108,0.6854551161827568,0.16402097768313162,0.0052960964380357,0.0105169060661403,0.5035793231135481,7.300827252968441,14.94816285998014
mp-1007755,bulk,SPERR,ZFP,0.2,base,base,0.0001,0.001,0.0363972772424006,0.0457162637499983,0.796155990381037,0.09900183285958342,0.0067450427854787,0.0076823768746834,0.877989051501287,9.16753135527092,20.794032324906755
mp-1007755,bulk,SPERR,ZFP,0.2,base,base,0.0003,0.003,0.1091951850840331,0.16768497999999,0.6511924030646014,0.18629067465197569,0.0534928150628797,0.0272861312621035,1.9604397028307747,11.880897413129698,30.1025897410259
mp-1009084,bulk,SPERR,ZFP,0.2,tight,tight,3e-07,3e-06,0.0006966431149066,0.000946737961911,0.7358351972074924,0.13321944239861283,0.0002653468859072,8.186116773867269e-05,3.241425614086926,15.13353896425686,8.957760901100777
mp-1009084,bulk,SPERR,ZFP,0.2,tight,base,3e-06,1e-05,0.0069660837436913,0.0045577273691392,1.5284116796584426,0.18424034777574771,0.0008545538180069,0.0003495295777078,2.4448683960053605,28.418776472446098,11.37345046452207
mp-1009084,bulk,SPERR,ZFP,0.2,base,base,1e-05,0.0001,0.0232201144578851,0.031405892390623,0.7393553467316228,0.13114678212868447,0.0028049636553779,0.0017881614577417,1.5686299708754137,41.74410975246048,17.335406718317806
mp-1009084,bulk,SPERR,ZFP,0.2,base,base,0.0003,0.003,0.6964933484221802,0.8443886949999992,0.8248492104956248,0.08362543694717957,0.0176963398409526,0.0224674463563729,0.7876435781912094,157.37056122927012,41.373928465858704
mp-1009084,bulk,SPERR,ZFP,0.2,base,base,0.001,0.01,2.3189203548363366,2.802988618999997,0.8273028078378862,0.08233550168926873,0.0253768198046735,0.0319377952213151,0.7945701833461928,286.534246964829,62.19878536513109
mp-1025517,bulk,SPERR,ZFP,0.2,tight,tight,1e-06,3e-06,0.0013822231262814,0.0009727862763639,1.4208908573915138,0.152560719832449,0.0019368690949459,0.0006338139623762,3.055895278299774,4.8694392939438265,7.156514236410699
mp-1025517,bulk,SPERR,ZFP,0.2,base,base,3e-05,0.0001,0.0414663052551205,0.0307991977812491,1.3463436791319825,0.12915593574123996,0.0072691770125778,0.0013698238928352,5.306650767736562,7.750417567015126,14.295760082730093
