tau_e,sensitivity,n_dev,n_ext,eligible_dev,eligible_ext,cv_auc_mean,cv_auc_sd,external_auc,external_balanced_accuracy,external_brier
0.0001,all,254,65,0.18110236220472442,0.27692307692307694,0.6426016260162601,0.09350828481011529,0.408983451536643,0.48404255319148937,0.339620011589296
0.0001,exclude_known_symmetry_relabel,254,64,0.18110236220472442,0.28125,0.6426016260162601,0.09350828481011529,0.41183574879227053,0.4891304347826087,0.33803297524092024
0.001,all,254,65,0.562992125984252,0.676923076923077,0.6367389357269417,0.048447177081705636,0.3874458874458875,0.4301948051948052,0.3178165707129817
0.001,exclude_known_symmetry_relabel,254,64,0.562992125984252,0.6875,0.6367389357269417,0.048447177081705636,0.38863636363636367,0.4409090909090909,0.31702057409573614
0.01,all,254,65,0.9015748031496063,0.9076923076923077,0.47231884057971013,0.10853659860487141,0.3983050847457627,0.3375706214689265,0.3810254948293697
0.01,exclude_known_symmetry_relabel,254,64,0.9015748031496063,0.921875,0.47231884057971013,0.10853659860487141,0.4101694915254237,0.3542372881355932,0.38241943488744884
