caliper_dex,codec_a,codec_b,material_id,corpus,n_pairs,n_jointly_eligible_cert_pairs,material_error_ratio_a_over_b,material_compression_ratio_a_over_b,material_linf_ratio_a_over_b,material_rmse_ratio_a_over_b,material_certification_difference_pp
0.05,SZ3,SPERR,mp-2242118,dev_bulk,1,1,0.9977574719606536,9.977102534562212,1.000060956195312,1.0255196102023159,0.0
0.05,SZ3,SPERR,mp-24407,dev_bulk,2,2,1.0087519424667735,16.751419629611338,0.9999814599792107,0.9619739390966247,0.0
0.05,SZ3,SPERR,mp-26341,dev_bulk,1,1,0.9913351488523223,10.92962899640964,1.0000134865627799,1.0037044212849149,0.0
0.05,SZ3,SPERR,mp-2647013,dev_bulk,2,2,3.251432194580397,12.848263126962893,0.9998550512705482,1.0339130106950942,0.0
0.05,SZ3,SPERR,mp-26619,dev_bulk,1,1,0.9877765201919355,6.893616861404365,1.0000103174241597,1.052840060435699,0.0
0.05,SZ3,SPERR,mp-27239,dev_bulk,2,2,1.375664015500811,15.586791071325097,1.0000216765409586,0.9510924289625645,0.0
0.05,SZ3,SPERR,mp-32108,dev_bulk,3,3,1.036938166715754,15.236523752241313,1.0000146316624692,0.9580836788616471,0.0
0.05,SZ3,SPERR,mp-3612,dev_bulk,3,3,0.8412325887504204,9.893819568898902,0.9999980945647121,1.0344150672634933,0.0
0.05,SZ3,SPERR,mp-37207,dev_bulk,2,2,1.260821796741528,11.252003295901632,1.0000267786991135,1.0193320242169717,0.0
0.05,SZ3,SPERR,mp-555976,dev_bulk,1,1,0.8957781943295331,9.707817941635641,1.0000109334088607,1.0317983409801856,0.0
0.05,SZ3,SPERR,mp-557569,dev_bulk,4,4,1.251312644956593,26.542440222445858,1.0000078786308626,0.9997323566311122,0.0
0.05,SZ3,SPERR,mp-560030,dev_bulk,1,1,1.918562158446484,13.715425811193953,0.9999747453052408,0.9764469674504304,0.0
0.05,SZ3,SPERR,mp-560341,dev_bulk,3,3,1.3903675120781271,12.861419068736142,1.0000098147065881,1.0242842763459574,0.0
0.05,SZ3,SPERR,mp-567699,dev_bulk,3,0,0.7548395442915059,14.276410245739614,1.0000067559973915,0.9934968596266021,
0.05,SZ3,SPERR,mp-569678,dev_bulk,4,4,0.6649971047439288,10.546534629046302,1.0000061774905984,1.048608224573302,25.0
0.05,SZ3,SPERR,mp-569792,dev_bulk,3,3,1.0495854301299268,12.053449600144583,1.0000096772826694,0.9350888646377574,0.0
0.05,SZ3,SPERR,mp-623043,dev_bulk,1,1,0.6210384826636941,16.70579798225355,1.00003156078885,0.928354828786767,0.0
0.05,SZ3,SPERR,mp-626794,dev_bulk,1,1,0.3946741941692329,6.300989043003372,1.0000188100968879,0.9750460361537174,100.0
0.05,SZ3,SPERR,mp-644443,dev_bulk,2,2,0.8705713349880839,19.933977042439796,1.0000097545279079,0.9433641743024014,0.0
0.05,SZ3,SPERR,mp-675781,dev_bulk,1,1,1.6396388154326416,16.8401019077371,1.000018915096417,1.007630935410935,0.0
0.05,SZ3,SPERR,mp-733522,dev_bulk,3,3,1.0821464899114945,6.890522313285203,1.0000080860829559,1.0060771267820607,0.0
0.05,SZ3,SPERR,mp-7359,dev_bulk,1,1,0.6278730144099159,8.073504954205806,1.0000029177572272,1.0357442153261822,0.0
0.05,SZ3,SPERR,mp-744554,dev_bulk,2,2,0.8282687997109428,13.269566154550997,1.0000321746951406,0.9793711214785417,0.0
0.05,SZ3,SPERR,mp-752866,dev_bulk,2,2,1.7230214886266433,17.094711086642334,0.9999585146886456,0.9411234225403335,0.0
0.05,SZ3,SPERR,mp-753183,dev_bulk,5,5,1.2153184368815029,10.220378222937077,1.0000068883979314,1.0384162760961833,20.0
0.05,SZ3,SPERR,mp-753334,dev_bulk,2,2,1.7526626893559396,16.97193200764956,1.00010736502366,0.9481890563991132,0.0
0.05,SZ3,SPERR,mp-753521,dev_bulk,3,0,1.4881120174780227,5.737798461722047,1.0000109080406105,1.0303083020388863,
0.05,SZ3,SPERR,mp-754196,dev_bulk,2,2,2.4108623852540356,25.759648656971567,1.0000236996012646,0.9429624302090089,-50.0
0.05,SZ3,SPERR,mp-756647,dev_bulk,1,0,0.9835091389357603,13.120736123282459,0.9999931814618184,0.9842818407727998,
0.05,SZ3,SPERR,mp-757220,dev_bulk,1,1,1.418779553910043,26.392591981521203,0.999971053074646,0.92009180449393,0.0
0.05,SZ3,SPERR,mp-758622,dev_bulk,1,1,0.9076566102659794,10.932084401498718,0.9999686794858839,1.0459156619545598,0.0
0.05,SZ3,SPERR,mp-759554,dev_bulk,3,3,2.219983537400324,11.78051763159816,1.000039103869221,0.9987960923224847,0.0
0.05,SZ3,SPERR,mp-760266,dev_bulk,2,2,1.0853745434491364,17.430495390722744,1.0000408691357443,0.9433316408960243,0.0
0.05,SZ3,SPERR,mp-766093,dev_bulk,1,1,1.2968677649285403,15.822153094100656,0.9999972585971739,0.950295447564846,0.0
0.05,SZ3,SPERR,mp-768842,dev_bulk,2,2,1.1051473453471894,11.020340680263397,1.000002720282477,1.0336062927746037,0.0
0.05,SZ3,SPERR,mp-768987,dev_bulk,2,2,1.717589398778483,7.7571796444236405,1.0000188142287927,1.0198389047364196,0.0
0.05,SZ3,SPERR,mp-771133,dev_bulk,3,3,1.6687517341927174,17.03985317252228,1.0000239161646152,0.9539541381949811,0.0
0.05,SZ3,SPERR,mp-771968,dev_bulk,1,1,1.0176898019842358,19.140367691905546,0.9999797604547922,0.9774584800367332,0.0
0.05,SZ3,SPERR,mp-772185,dev_bulk,2,2,0.9615938023732965,9.80501624582273,1.000012318260353,1.0322773728088521,0.0
0.05,SZ3,SPERR,mp-776076,dev_bulk,3,3,0.7273806548701446,11.844710653502775,1.0000139884256367,1.0134627564814016,0.0
0.05,SZ3,SPERR,mp-776331,dev_bulk,2,2,1.455103477663947,16.160797415813953,1.0000140920212575,1.0141492619769157,0.0
0.05,SZ3,SPERR,mp-782011,dev_bulk,3,3,0.8884888236234362,19.1057399975678,1.000018162091142,0.9705202645359278,0.0
0.05,SZ3,SPERR,mp-849339,dev_bulk,1,1,1.5043486862970608,14.221127717391301,1.0000500638414218,0.9751642973010386,0.0
0.05,SZ3,SPERR,mp-864652,dev_bulk,2,2,0.9136454572165759,16.547958383153617,1.0000019592089646,0.9952729846370892,0.0
0.05,SZ3,SPERR,mp-887511,dev_bulk,1,1,2.7662306641777095,13.182649789962419,1.0000090738044705,0.9967067893523264,0.0
0.05,SZ3,SPERR,mp-985702,dev_bulk,2,2,1.596868737707673,10.30099061574328,1.0000130879115887,1.0334560628073501,0.0
0.05,SZ3,SPERR,mp-998512,dev_bulk,2,2,1.7500939428697286,18.66275836129583,0.9999960427674133,0.9340333478129295,0.0
0.05,SZ3,SPERR,nomad---3hBedCnC_e,dev_slab,2,2,0.5168983608401618,6.522821618904169,1.0000037561165551,1.1049830210546854,50.0
0.05,SZ3,SPERR,nomad--1YLlCXKIJKj,dev_slab,4,0,0.9672187974323012,8.328140567375451,1.0000073400219325,1.057935508669054,
0.05,SZ3,SPERR,nomad--33WrhYeNt5f,dev_slab,1,1,0.833186839935459,7.023706989786489,1.0000102888202616,1.1125192617583042,0.0
0.05,SZ3,SPERR,nomad--5wLHf6mG5_K,dev_slab,2,0,1.1067979179767073,6.282526433879328,1.0000059702778508,1.097868645178437,
0.05,SZ3,SPERR,nomad--MeUbDBN9nIW,dev_slab,1,1,1.7011618974786842,3.198592744307596,1.0000027035786274,1.0927091983845016,0.0
0.05,SZ3,SPERR,nomad--O7C25L6mxPu,dev_slab,7,7,0.998905161819301,4.680109527655562,1.0000092142277042,1.0813444958185428,14.285714285714286
0.05,SZ3,SPERR,nomad--g_dRNdo_53Q,dev_slab,1,1,0.5193470352547632,7.800345294467405,1.0000002662240306,1.107771845219883,0.0
0.05,SZ3,SPERR,nomad--kEaPn7WzevZ,dev_slab,5,5,0.6195329959756845,5.91203786437364,1.0000054336533404,1.0750077328870113,0.0
0.05,SZ3,SPERR,nomad--maT57oivXnQ,dev_slab,5,5,0.6132342336477848,5.240478834397003,1.00000357530821,1.0636738224640447,20.0
0.05,SZ3,SPERR,nomad--ydxPkR4Tatz,dev_slab,7,7,0.600010523224808,5.136382935463811,1.0000034389164998,1.0516359168789144,14.285714285714286
0.05,SZ3,SPERR,nomad-0-ostsntWIk9,dev_slab,2,2,0.285435848650125,7.408924033370257,1.000006121000863,0.9261514252384437,0.0
0.05,SZ3,SPERR,nomad-064_5lUOyDQI,dev_slab,7,7,0.6074109725629718,5.921766804823057,1.0000105028574686,1.0451191936034454,0.0
0.05,SZ3,SPERR,nomad-0HydAdmxidgt,dev_slab,3,3,0.9485634394478665,6.708732359345684,1.0000053245394611,1.0497967554063106,0.0
0.05,SZ3,SPERR,nomad-0J594sjoAqDW,dev_slab,5,5,0.6220205865656909,5.428442579586986,1.0000050349242589,1.0552881036053994,20.0
0.05,SZ3,SPERR,nomad-0JxkdxfFTtnZ,dev_slab,5,5,0.413420254907082,6.373611554384814,1.0000102094109355,1.0664937322983987,20.0
