material_id,domain,case_role,stability_floor_A_archived_e,codec,relative_tolerance,compression_ratio,linf,atom_index,element,q_original_e,q_recon_old_basins_e,q_recon_new_basins_e,dq_integrand_e,dq_domain_e,dq_total_e,basin_voxels_original,basin_voxels_recon,frac_voxels_reassigned_material
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.0001,14.588776060598954,0.0017838009931665,0,Al,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.876800411522634e-05
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.0001,14.588776060598954,0.0017838009931665,1,Al,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.876800411522634e-05
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.0001,14.588776060598954,0.0017838009931665,2,As,8.013988955274918,8.013988112287267,8.014010580233586,-8.429876512394685e-07,2.2467946319437715e-05,2.1624958668198246e-05,310316,310313,7.876800411522634e-05
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.0001,14.588776060598954,0.0017838009931665,3,As,8.013988955274597,8.013988125152549,8.01396565720623,-8.301220475459559e-07,-2.2467946319437715e-05,-2.329806836698367e-05,310316,310319,7.876800411522634e-05
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.001,22.76429904490065,0.0119274752812472,0,Al,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0005369084362139
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.001,22.76429904490065,0.0119274752812472,1,Al,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0005369084362139
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.001,22.76429904490065,0.0119274752812472,2,As,8.013988955274918,8.013999762750947,8.013995628396179,1.0807476028773522e-05,-4.134354767870718e-06,6.6731212609028034e-06,310316,310331,0.0005369084362139
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.001,22.76429904490065,0.0119274752812472,3,As,8.013988955274597,8.01399248961068,8.013996776239372,3.534336082466893e-06,4.286628692895533e-06,7.820964775362427e-06,310316,310302,0.0005369084362139
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.01,44.96097137901128,0.1559403039999978,0,Al,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0044479809670781
mp-8881,bulk,most_stable,1.475e-10,ZFP,0.01,44.96097137901128,0.1559403039999978,1,Al,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0044479809670781
