material_id,codec,relative_tolerance,solver,status,stage,error,failure_family
nomad-BbyKgzzvPkrI,SPERR,3e-06,baderkit_ongrid,FAILED,codec,"FileNotFoundError: [Errno 2] Unable to synchronously create file (unable to open file: name = '/tmp/qoi_p4_cmp_n_wegb2d/SPERR_3e-06/sperr.h5', errno = 2, error message = 'No such file or directory', flags = 13, o_flags = 242)",SPERR_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,SPERR,3e-06,henkelman_ongrid,FAILED,codec,"FileNotFoundError: [Errno 2] Unable to synchronously create file (unable to open file: name = '/tmp/qoi_p4_cmp_n_wegb2d/SPERR_3e-06/sperr.h5', errno = 2, error message = 'No such file or directory', flags = 13, o_flags = 242)",SPERR_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,SZ3,1e-07,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/SZ3_1e-07',HENKELMAN_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,SZ3,3e-07,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/SZ3_3e-07',HENKELMAN_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,SZ3,1e-06,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/SZ3_1e-06',HENKELMAN_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,SZ3,3e-06,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/SZ3_3e-06',HENKELMAN_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,ZFP,1e-07,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/ZFP_1e-07',HENKELMAN_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,ZFP,3e-07,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/ZFP_3e-07',HENKELMAN_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,ZFP,1e-06,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/ZFP_1e-06',HENKELMAN_WORKDIR_NOT_CREATED
nomad-BbyKgzzvPkrI,ZFP,3e-06,henkelman_ongrid,FAILED,henkelman,FileNotFoundError: [Errno 2] No such file or directory: '/tmp/qoi_p4_cmp_n_wegb2d/henkelman/ZFP_3e-06',HENKELMAN_WORKDIR_NOT_CREATED
