material_id,tau_e,original_qsq_floor_e,original_qsq_eligible,n_planned,n_valid,n_fail,n_exceed,valid_exceedance_fraction,valid_exact_one_sided_95_upper,conservative_exceedance_fraction,conservative_exact_one_sided_95_upper,any_fresh_exceedance,any_unresolved,fresh_max_response_e,fresh_max_over_original_floor
mp-1007755,0.0001,0.0017092764859629,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.00922651069999958,5.397904186812666
mp-1007755,0.001,0.0017092764859629,False,59,59,0,49,0.8305084745762712,0.9050582324874905,0.8305084745762712,0.9050582324874905,True,False,0.00922651069999958,5.397904186812666
mp-1007755,0.01,0.0017092764859629,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.00922651069999958,5.397904186812666
mp-1009084,0.0001,0.0001314017050297,False,59,59,0,15,0.2542372881355932,0.36415134253403497,0.2542372881355932,0.36415134253403497,True,False,0.000172643900000935,1.31386346898553
mp-1009084,0.001,0.0001314017050297,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.000172643900000935,1.31386346898553
mp-1009084,0.01,0.0001314017050297,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.000172643900000935,1.31386346898553
mp-1025517,0.0001,0.0006035059103002,False,59,59,0,55,0.9322033898305084,0.976512448112573,0.9322033898305084,0.976512448112573,True,False,0.0010147225999999065,1.6813797225202922
mp-1025517,0.001,0.0006035059103002,True,59,59,0,1,0.01694915254237288,0.0778979215188183,0.01694915254237288,0.0778979215188183,True,False,0.0010147225999999065,1.6813797225202922
mp-1025517,0.01,0.0006035059103002,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0010147225999999065,1.6813797225202922
mp-1036731,0.0001,0.0070293738411777,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.007665434000000637,1.0904860337768538
mp-1036731,0.001,0.0070293738411777,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.007665434000000637,1.0904860337768538
mp-1036731,0.01,0.0070293738411777,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.007665434000000637,1.0904860337768538
mp-1038991,0.0001,0.0014238497995382,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.0015093619000001723,1.0600569670267936
mp-1038991,0.001,0.0014238497995382,False,59,59,0,29,0.4915254237288136,0.6054159314714334,0.4915254237288136,0.6054159314714334,True,False,0.0015093619000001723,1.0600569670267936
mp-1038991,0.01,0.0014238497995382,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0015093619000001723,1.0600569670267936
mp-1039028,0.0001,0.0008710810668208,False,59,59,0,50,0.847457627118644,0.9180472284987325,0.847457627118644,0.9180472284987325,True,False,0.0011554575999994654,1.3264639124996247
mp-1039028,0.001,0.0008710810668208,True,59,59,0,2,0.03389830508474576,0.102889162709954,0.03389830508474576,0.102889162709954,True,False,0.0011554575999994654,1.3264639124996247
mp-1039028,0.01,0.0008710810668208,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0011554575999994654,1.3264639124996247
mp-1041800,0.0001,0.0024767491301114,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.0026351991000002073,1.0639749775067775
mp-1041800,0.001,0.0024767491301114,False,59,59,0,59,1.0,1.0,1.0,1.0,True,False,0.0026351991000002073,1.0639749775067775
mp-1041800,0.01,0.0024767491301114,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0026351991000002073,1.0639749775067775
mp-1044003,0.0001,0.0001696445782863,False,59,59,0,38,0.6440677966101694,0.747615120678281,0.6440677966101694,0.747615120678281,True,False,0.0002949215000001004,1.7384669936364092
mp-1044003,0.001,0.0001696445782863,True,59,59,0,0,0.0,0.04950760988822693,0.0,0.04950760988822693,False,False,0.0002949215000001004,1.7384669936364092
