material_id,system_type,corpus,stability_floor_A1_e,codec,valid_rows,numerical_pass,available,eligible,no_pass_observed,qualified_pass,eligible_no_pass,non_evaluable,non_evaluable_no_pass,non_evaluable_pass,design,tau_e
mp-1077596,bulk,dev_bulk,0.0165911978422954,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1078524,bulk,dev_bulk,0.0058046787048748,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1078524,bulk,dev_bulk,0.0058046787048748,SZ3,4,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1078524,bulk,dev_bulk,0.0058046787048748,SPERR,3,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1079749,bulk,dev_bulk,2.913303598409884,ZFP,1,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1079749,bulk,dev_bulk,2.913303598409884,SZ3,1,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1079749,bulk,dev_bulk,2.913303598409884,SPERR,1,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1094905,bulk,dev_bulk,0.0003569475820821,ZFP,10,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1094905,bulk,dev_bulk,0.0003569475820821,SZ3,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1094905,bulk,dev_bulk,0.0003569475820821,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1096987,bulk,dev_bulk,0.1016264969600388,ZFP,1,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1096987,bulk,dev_bulk,0.1016264969600388,SZ3,1,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1096987,bulk,dev_bulk,0.1016264969600388,SPERR,1,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1097014,bulk,dev_bulk,4.789610189881444e-05,ZFP,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1097014,bulk,dev_bulk,4.789610189881444e-05,SZ3,10,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1097014,bulk,dev_bulk,4.789610189881444e-05,SPERR,10,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1100976,bulk,dev_bulk,8.042828407628377e-05,ZFP,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1100976,bulk,dev_bulk,8.042828407628377e-05,SZ3,10,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1100976,bulk,dev_bulk,8.042828407628377e-05,SPERR,10,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1103974,bulk,dev_bulk,0.0009891331278399,ZFP,13,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1103974,bulk,dev_bulk,0.0009891331278399,SZ3,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1103974,bulk,dev_bulk,0.0009891331278399,SPERR,12,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1104614,bulk,dev_bulk,0.0001080913601461,ZFP,12,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1104614,bulk,dev_bulk,0.0001080913601461,SZ3,10,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1104614,bulk,dev_bulk,0.0001080913601461,SPERR,10,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1105871,bulk,dev_bulk,0.0017458346870578,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1105871,bulk,dev_bulk,0.0017458346870578,SZ3,4,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1105871,bulk,dev_bulk,0.0017458346870578,SPERR,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1111338,bulk,dev_bulk,0.0034288447017898,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1111338,bulk,dev_bulk,0.0034288447017898,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1111338,bulk,dev_bulk,0.0034288447017898,SPERR,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1112138,bulk,dev_bulk,0.0026911401713034,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1112138,bulk,dev_bulk,0.0026911401713034,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1112138,bulk,dev_bulk,0.0026911401713034,SPERR,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1114492,bulk,dev_bulk,0.0040834267154448,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1114492,bulk,dev_bulk,0.0040834267154448,SZ3,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1114492,bulk,dev_bulk,0.0040834267154448,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-11306,bulk,dev_bulk,0.0022630580329892,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-11306,bulk,dev_bulk,0.0022630580329892,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-11306,bulk,dev_bulk,0.0022630580329892,SPERR,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-11419,bulk,dev_bulk,0.0328107202440346,ZFP,6,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-11419,bulk,dev_bulk,0.0328107202440346,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-11419,bulk,dev_bulk,0.0328107202440346,SPERR,3,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1173587,bulk,dev_bulk,0.0013024555625946,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1173587,bulk,dev_bulk,0.0013024555625946,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1173587,bulk,dev_bulk,0.0013024555625946,SPERR,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1174037,bulk,dev_bulk,5.462492720820222e-05,ZFP,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1174037,bulk,dev_bulk,5.462492720820222e-05,SZ3,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1174037,bulk,dev_bulk,5.462492720820222e-05,SPERR,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1175088,bulk,dev_bulk,5.992123321352239e-05,ZFP,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1175088,bulk,dev_bulk,5.992123321352239e-05,SZ3,10,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1175088,bulk,dev_bulk,5.992123321352239e-05,SPERR,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1175263,bulk,dev_bulk,5.3444224779930494e-05,ZFP,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1175263,bulk,dev_bulk,5.3444224779930494e-05,SZ3,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1175263,bulk,dev_bulk,5.3444224779930494e-05,SPERR,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1177023,bulk,dev_bulk,0.0001477995674559,ZFP,13,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1177023,bulk,dev_bulk,0.0001477995674559,SZ3,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1177023,bulk,dev_bulk,0.0001477995674559,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1178256,bulk,dev_bulk,0.0006652798959709,ZFP,12,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1178256,bulk,dev_bulk,0.0006652798959709,SZ3,10,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1178256,bulk,dev_bulk,0.0006652798959709,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1178447,bulk,dev_bulk,5.154635492488069e-05,ZFP,12,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1178447,bulk,dev_bulk,5.154635492488069e-05,SZ3,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1178447,bulk,dev_bulk,5.154635492488069e-05,SPERR,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1184653,bulk,dev_bulk,0.0041822047069146,ZFP,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1184653,bulk,dev_bulk,0.0041822047069146,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1184653,bulk,dev_bulk,0.0041822047069146,SPERR,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187017,bulk,dev_bulk,0.0042427255509078,ZFP,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187017,bulk,dev_bulk,0.0042427255509078,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187017,bulk,dev_bulk,0.0042427255509078,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187022,bulk,dev_bulk,0.0280344010095632,ZFP,3,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187022,bulk,dev_bulk,0.0280344010095632,SZ3,3,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187022,bulk,dev_bulk,0.0280344010095632,SPERR,2,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187279,bulk,dev_bulk,0.0073389713664759,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187279,bulk,dev_bulk,0.0073389713664759,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187279,bulk,dev_bulk,0.0073389713664759,SPERR,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187638,bulk,dev_bulk,0.0044972152673672,ZFP,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187638,bulk,dev_bulk,0.0044972152673672,SZ3,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1187638,bulk,dev_bulk,0.0044972152673672,SPERR,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1188002,bulk,dev_bulk,6.020120529015571e-05,ZFP,13,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1188002,bulk,dev_bulk,6.020120529015571e-05,SZ3,9,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1188002,bulk,dev_bulk,6.020120529015571e-05,SPERR,12,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1192831,bulk,dev_bulk,0.0007240303272109,ZFP,12,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1192831,bulk,dev_bulk,0.0007240303272109,SZ3,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1192831,bulk,dev_bulk,0.0007240303272109,SPERR,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1193567,bulk,dev_bulk,0.0002738073303332,ZFP,11,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1193567,bulk,dev_bulk,0.0002738073303332,SZ3,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1193567,bulk,dev_bulk,0.0002738073303332,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1194734,bulk,dev_bulk,3.098067363005441e-05,ZFP,12,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1194734,bulk,dev_bulk,3.098067363005441e-05,SZ3,10,False,True,True,True,False,True,False,False,False,full_record,0.0001
mp-1194734,bulk,dev_bulk,3.098067363005441e-05,SPERR,12,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1197354,bulk,dev_bulk,0.0078416565267671,ZFP,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1197354,bulk,dev_bulk,0.0078416565267671,SZ3,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1197354,bulk,dev_bulk,0.0078416565267671,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1199510,bulk,dev_bulk,0.0069415229115392,ZFP,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1199510,bulk,dev_bulk,0.0069415229115392,SZ3,5,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1199510,bulk,dev_bulk,0.0069415229115392,SPERR,4,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1200041,bulk,dev_bulk,0.0015540627280747,ZFP,9,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1200041,bulk,dev_bulk,0.0015540627280747,SZ3,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1200041,bulk,dev_bulk,0.0015540627280747,SPERR,7,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1200429,bulk,dev_bulk,6.309121131398143e-05,ZFP,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1200429,bulk,dev_bulk,6.309121131398143e-05,SZ3,10,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1200429,bulk,dev_bulk,6.309121131398143e-05,SPERR,11,True,True,True,False,True,False,False,False,False,full_record,0.0001
mp-1205681,bulk,dev_bulk,0.0001780077489179,ZFP,12,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1205681,bulk,dev_bulk,0.0001780077489179,SZ3,10,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1205681,bulk,dev_bulk,0.0001780077489179,SPERR,11,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1206294,bulk,dev_bulk,0.002677258230209,ZFP,9,True,True,False,False,False,False,True,False,True,full_record,0.0001
mp-1206294,bulk,dev_bulk,0.002677258230209,SZ3,6,False,True,False,True,False,False,True,True,False,full_record,0.0001
mp-1206294,bulk,dev_bulk,0.002677258230209,SPERR,8,False,True,False,True,False,False,True,True,False,full_record,0.0001
