tau_e,primary_endpoint,gate_group,n_materials,acceptance_fraction_all_materials,planned_trials,valid_trials,unresolved_trials,exceedance_events,valid_trial_exceedance_fraction,material_cluster_ci_low,material_cluster_ci_high,conservative_exceedance_fraction,conservative_material_cluster_ci_low,conservative_material_cluster_ci_high,materials_with_any_exceedance,fraction_materials_with_any_exceedance,materials_with_unresolved_trials,median_material_exceedance_fraction
0.0001,False,eligible,46,0.18110236220472442,2714,2714,0,109,0.04016212232866617,0.015475313190862197,0.07406042741341194,0.04016212232866617,0.015475313190862197,0.07406042741341194,15,0.32608695652173914,0,0.0
0.0001,False,screen_rejected,208,0.18110236220472442,12272,12272,0,10669,0.869377444589309,0.8347457627118644,0.9016460234680573,0.869377444589309,0.8351531942633638,0.9010756192959583,208,1.0,0,1.0
0.001,True,eligible,143,0.562992125984252,8437,8437,0,135,0.016000948204338034,0.007822685788787484,0.025957093753703923,0.016000948204338034,0.007822685788787484,0.02583856821144957,20,0.13986013986013987,0,0.0
0.001,True,screen_rejected,111,0.562992125984252,6549,6549,0,5326,0.8132539318979997,0.7598106581157429,0.8625744388456252,0.8132539318979997,0.7599633531836921,0.8630325240494732,110,0.990990990990991,0,0.9830508474576272
0.01,False,eligible,229,0.9015748031496063,13511,13511,0,20,0.0014802753312116053,0.0,0.0037747020945895935,0.0014802753312116053,0.0,0.0037747020945895935,2,0.008733624454148471,0,0.0
0.01,False,screen_rejected,25,0.9015748031496063,1475,1475,0,1174,0.7959322033898305,0.6698305084745763,0.9071186440677966,0.7959322033898305,0.6684745762711864,0.9071186440677966,24,0.96,0,1.0
