material_id,system_type,corpus,stability_floor_A1_e,codec,base,tight,tight_access
mp-1111338,bulk,dev_bulk,0.0034288447017898,ZFP,8,0,False
mp-1111338,bulk,dev_bulk,0.0034288447017898,SZ3,6,0,False
mp-1111338,bulk,dev_bulk,0.0034288447017898,SPERR,8,0,False
mp-1112138,bulk,dev_bulk,0.0026911401713034,ZFP,7,0,False
mp-1112138,bulk,dev_bulk,0.0026911401713034,SZ3,6,0,False
mp-1112138,bulk,dev_bulk,0.0026911401713034,SPERR,6,0,False
mp-1114492,bulk,dev_bulk,0.0040834267154448,ZFP,8,0,False
mp-1114492,bulk,dev_bulk,0.0040834267154448,SZ3,7,0,False
mp-1114492,bulk,dev_bulk,0.0040834267154448,SPERR,7,0,False
mp-11306,bulk,dev_bulk,0.0022630580329892,ZFP,8,0,False
mp-11306,bulk,dev_bulk,0.0022630580329892,SZ3,6,0,False
mp-11306,bulk,dev_bulk,0.0022630580329892,SPERR,6,0,False
mp-11419,bulk,dev_bulk,0.0328107202440346,ZFP,6,0,False
mp-11419,bulk,dev_bulk,0.0328107202440346,SZ3,6,0,False
mp-11419,bulk,dev_bulk,0.0328107202440346,SPERR,3,0,False
mp-1173587,bulk,dev_bulk,0.0013024555625946,ZFP,8,0,False
mp-1173587,bulk,dev_bulk,0.0013024555625946,SZ3,6,0,False
mp-1173587,bulk,dev_bulk,0.0013024555625946,SPERR,6,0,False
mp-1174037,bulk,dev_bulk,5.462492720820222e-05,ZFP,9,4,True
mp-1174037,bulk,dev_bulk,5.462492720820222e-05,SZ3,7,4,True
mp-1174037,bulk,dev_bulk,5.462492720820222e-05,SPERR,7,4,True
mp-1175088,bulk,dev_bulk,5.992123321352239e-05,ZFP,9,4,True
mp-1175088,bulk,dev_bulk,5.992123321352239e-05,SZ3,6,4,True
mp-1175088,bulk,dev_bulk,5.992123321352239e-05,SPERR,7,4,True
mp-1175263,bulk,dev_bulk,5.3444224779930494e-05,ZFP,9,4,True
mp-1175263,bulk,dev_bulk,5.3444224779930494e-05,SZ3,7,4,True
mp-1175263,bulk,dev_bulk,5.3444224779930494e-05,SPERR,7,4,True
mp-1177023,bulk,dev_bulk,0.0001477995674559,ZFP,9,4,True
mp-1177023,bulk,dev_bulk,0.0001477995674559,SZ3,7,4,True
mp-1177023,bulk,dev_bulk,0.0001477995674559,SPERR,7,4,True
mp-1178256,bulk,dev_bulk,0.0006652798959709,ZFP,8,4,True
mp-1178256,bulk,dev_bulk,0.0006652798959709,SZ3,6,4,True
mp-1178256,bulk,dev_bulk,0.0006652798959709,SPERR,7,4,True
mp-1178447,bulk,dev_bulk,5.154635492488069e-05,ZFP,8,4,True
mp-1178447,bulk,dev_bulk,5.154635492488069e-05,SZ3,7,4,True
mp-1178447,bulk,dev_bulk,5.154635492488069e-05,SPERR,7,4,True
mp-1184653,bulk,dev_bulk,0.0041822047069146,ZFP,8,0,False
mp-1184653,bulk,dev_bulk,0.0041822047069146,SZ3,6,0,False
mp-1184653,bulk,dev_bulk,0.0041822047069146,SPERR,6,0,False
mp-1187017,bulk,dev_bulk,0.0042427255509078,ZFP,9,0,False
mp-1187017,bulk,dev_bulk,0.0042427255509078,SZ3,6,0,False
mp-1187017,bulk,dev_bulk,0.0042427255509078,SPERR,7,0,False
mp-1187022,bulk,dev_bulk,0.0280344010095632,ZFP,3,0,False
mp-1187022,bulk,dev_bulk,0.0280344010095632,SZ3,3,0,False
mp-1187022,bulk,dev_bulk,0.0280344010095632,SPERR,2,0,False
mp-1187279,bulk,dev_bulk,0.0073389713664759,ZFP,7,0,False
mp-1187279,bulk,dev_bulk,0.0073389713664759,SZ3,6,0,False
mp-1187279,bulk,dev_bulk,0.0073389713664759,SPERR,6,0,False
mp-1187638,bulk,dev_bulk,0.0044972152673672,ZFP,9,0,False
mp-1187638,bulk,dev_bulk,0.0044972152673672,SZ3,5,0,False
mp-1187638,bulk,dev_bulk,0.0044972152673672,SPERR,8,0,False
mp-1188002,bulk,dev_bulk,6.020120529015571e-05,ZFP,9,4,True
mp-1188002,bulk,dev_bulk,6.020120529015571e-05,SZ3,5,4,True
mp-1188002,bulk,dev_bulk,6.020120529015571e-05,SPERR,8,4,True
mp-1192831,bulk,dev_bulk,0.0007240303272109,ZFP,8,4,True
mp-1192831,bulk,dev_bulk,0.0007240303272109,SZ3,5,4,True
mp-1192831,bulk,dev_bulk,0.0007240303272109,SPERR,4,4,True
mp-1193567,bulk,dev_bulk,0.0002738073303332,ZFP,7,4,True
mp-1193567,bulk,dev_bulk,0.0002738073303332,SZ3,7,4,True
mp-1193567,bulk,dev_bulk,0.0002738073303332,SPERR,7,4,True
mp-1194734,bulk,dev_bulk,3.098067363005441e-05,ZFP,8,4,True
mp-1194734,bulk,dev_bulk,3.098067363005441e-05,SZ3,6,4,True
mp-1194734,bulk,dev_bulk,3.098067363005441e-05,SPERR,8,4,True
mp-1197354,bulk,dev_bulk,0.0078416565267671,ZFP,9,0,False
mp-1197354,bulk,dev_bulk,0.0078416565267671,SZ3,7,0,False
mp-1197354,bulk,dev_bulk,0.0078416565267671,SPERR,7,0,False
mp-1199510,bulk,dev_bulk,0.0069415229115392,ZFP,7,0,False
mp-1199510,bulk,dev_bulk,0.0069415229115392,SZ3,5,0,False
mp-1199510,bulk,dev_bulk,0.0069415229115392,SPERR,4,0,False
mp-1200041,bulk,dev_bulk,0.0015540627280747,ZFP,9,0,False
mp-1200041,bulk,dev_bulk,0.0015540627280747,SZ3,7,0,False
mp-1200041,bulk,dev_bulk,0.0015540627280747,SPERR,7,0,False
mp-1200429,bulk,dev_bulk,6.309121131398143e-05,ZFP,7,4,True
mp-1200429,bulk,dev_bulk,6.309121131398143e-05,SZ3,6,4,True
mp-1200429,bulk,dev_bulk,6.309121131398143e-05,SPERR,7,4,True
mp-1205681,bulk,dev_bulk,0.0001780077489179,ZFP,8,4,True
mp-1205681,bulk,dev_bulk,0.0001780077489179,SZ3,6,4,True
mp-1205681,bulk,dev_bulk,0.0001780077489179,SPERR,7,4,True
mp-1206294,bulk,dev_bulk,0.002677258230209,ZFP,9,0,False
mp-1206294,bulk,dev_bulk,0.002677258230209,SZ3,6,0,False
mp-1206294,bulk,dev_bulk,0.002677258230209,SPERR,8,0,False
mp-1206630,bulk,dev_bulk,0.0001084162153581,ZFP,7,4,True
mp-1206630,bulk,dev_bulk,0.0001084162153581,SZ3,5,4,True
mp-1206630,bulk,dev_bulk,0.0001084162153581,SPERR,5,4,True
mp-1207275,bulk,dev_bulk,0.0004398184233682,ZFP,6,4,True
mp-1207275,bulk,dev_bulk,0.0004398184233682,SZ3,6,4,True
mp-1207275,bulk,dev_bulk,0.0004398184233682,SPERR,3,4,True
mp-1209117,bulk,dev_bulk,0.0428522944628131,ZFP,7,0,False
mp-1209117,bulk,dev_bulk,0.0428522944628131,SZ3,6,0,False
mp-1209117,bulk,dev_bulk,0.0428522944628131,SPERR,6,0,False
mp-1209933,bulk,dev_bulk,0.0002172780026672,ZFP,6,4,True
mp-1209933,bulk,dev_bulk,0.0002172780026672,SZ3,4,4,True
mp-1209933,bulk,dev_bulk,0.0002172780026672,SPERR,4,4,True
