tau_e,primary_endpoint,acceptance_fraction,eligible_materials,screen_rejected_materials,eligible_valid_exceedance_fraction,screen_rejected_valid_exceedance_fraction,valid_risk_ratio_rejected_over_eligible,eligible_conservative_exceedance_fraction,screen_rejected_conservative_exceedance_fraction,conservative_risk_ratio_rejected_over_eligible
0.0001,False,0.18110236220472442,46,208,0.04016212232866617,0.869377444589309,21.646700776287933,0.04016212232866617,0.869377444589309,21.646700776287933
0.001,True,0.562992125984252,143,111,0.016000948204338034,0.8132539318979997,50.82535869202536,0.016000948204338034,0.8132539318979997,50.82535869202536
0.01,False,0.9015748031496063,229,25,0.0014802753312116053,0.7959322033898305,537.692,0.0014802753312116053,0.7959322033898305,537.692
