caliper_dex,primary,codec_a,codec_b,n_materials,n_matched_pairs,error_ratio,error_ci_low,error_ci_high,rmse_ratio,rmse_ci_low,rmse_ci_high,linf_ratio,linf_ci_low,linf_ci_high,compression_ratio,compression_ci_low,compression_ci_high,shape_ratio,shape_ci_low,shape_ci_high,rmse_ci_excludes_1
0.05,False,ZFP,SZ3,147,198,0.5832020469351656,0.548933984767441,0.6392400887613898,0.37843652224947355,0.36128886240592745,0.38874084668924197,1.0171746949658,1.005797073684159,1.028935082482791,0.29831809950234567,0.26158743721734784,0.32511360099913816,0.3653753340941513,0.3495163626229625,0.3826561286567679,True
0.05,False,ZFP,SPERR,143,208,0.6019497057689979,0.508368214622625,0.7074451480543041,0.43264078886716395,0.41785520575117685,0.43825421242590046,1.0174169847902685,1.0086735877679756,1.030682900586483,2.64931964867922,2.52581664262768,2.8461191464550244,0.4233518263376354,0.41517719194988695,0.4345806278433959,True
0.05,False,SZ3,SPERR,254,1848,1.0325070260736608,0.976842347456117,1.073904359656044,1.286726140092965,1.267265352349859,1.2959828285542225,1.000009813753625,1.0000089831842942,1.0000108583642524,3.5819085179736754,3.3517922062213406,3.810513916690606,1.2867109732712125,1.2674905800913794,1.2968237170891823,True
0.1,True,ZFP,SZ3,214,457,0.5574478963397762,0.5230538745721187,0.5986474522914494,0.37594948467216394,0.3653398141191638,0.3817693727372207,1.0549602119517973,1.0354727469591056,1.0727285541571023,0.32552409976228247,0.31324560798567824,0.33940883840705827,0.345976519893899,0.33857662970142127,0.35442668800752025,True
0.1,True,ZFP,SPERR,206,465,0.6007474002367664,0.5336713674718817,0.6641010252253327,0.43720406511952625,0.426085257545166,0.4481989817502411,1.055889306629589,1.0364704019593365,1.078164804083068,2.668694833594388,2.5251537459432374,2.756518231554671,0.41635130950242194,0.4058110458966686,0.4265399492174866,True
0.1,True,SZ3,SPERR,254,1848,1.0325070260736608,0.9768578471905586,1.073904359656044,1.286726140092965,1.2680886491965238,1.2962032252008882,1.000009813753625,1.000008923479665,1.0000108434693584,3.5819085179736754,3.3552849898751087,3.8062321254135627,1.2867109732712125,1.2680738370347917,1.29741717516238,True
0.2,False,ZFP,SZ3,244,1089,0.5907402009496618,0.5651088023074375,0.6208906694702904,0.37175853784648716,0.3651193388641816,0.378831006765392,1.1583520771631686,1.13028095353975,1.1816738391021526,0.4483340256656821,0.42671720887145115,0.46887112642822554,0.30384921754718686,0.298594236078635,0.3092365790615773,True
0.2,False,ZFP,SPERR,245,1091,0.5911392517065933,0.5579006231887288,0.6235274663045247,0.44732429985643596,0.4327023274679361,0.46571882337621595,1.146719237813196,1.1159505363978326,1.1840085975858363,2.601882649123452,2.486115857826384,2.682682340746325,0.3953693189878526,0.3857588530589144,0.4036029508595052,True
0.2,False,SZ3,SPERR,254,1848,1.0325070260736608,0.9783431575564944,1.0733375228528281,1.286726140092965,1.2675158384196141,1.2962032252008882,1.000009813753625,1.0000089639147594,1.0000108434693584,3.5819085179736754,3.3517922062213406,3.810451103338709,1.2867109732712125,1.267829318276579,1.2968237170891823,True
0.3,False,ZFP,SZ3,248,1621,0.5986676293319056,0.5684712715522694,0.6245318340685531,0.3781421801657344,0.36929174348872856,0.3883428518805545,1.2200106337299612,1.1757095037327867,1.246868070908433,0.529861928002749,0.5128723592073179,0.5464027875630437,0.2922529578289971,0.29003078596421505,0.29462453523866566,True
0.3,False,ZFP,SPERR,248,1622,0.6003133629927346,0.5739752333959264,0.651396615686985,0.45610805044467406,0.43414663220477,0.4793364839506201,1.2007025295194995,1.1550809558950155,1.2319214743375586,2.4160744257131612,2.3038261138241283,2.5213263440604883,0.3861833087209975,0.3786621996556604,0.3928087606699542,True
0.3,False,SZ3,SPERR,254,1848,1.0325070260736608,0.976842347456117,1.0733375228528281,1.286726140092965,1.2675158384196141,1.2962189163787243,1.000009813753625,1.000008956067554,1.0000108431541632,3.5819085179736754,3.355116234698188,3.812964445231342,1.2867109732712125,1.267829318276579,1.2958253377209754,True
