material_id,corpus,system_type,source,formula,ngrid,sha256,url,source_bytes,npoints,natoms,crystal_system,symmetry_number,spacegroup_relax,upload_id,upload_description,cell_c_angstrom,vacuum_fraction,license
mp-1103974,dev_bulk,bulk,Materials Project,La(Mo3S4)2,100x100x100,2069fb5512710c6d0ee47eb06a59585c1ca955abf3e0069e75f7724718f10ee6,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1924006.json.gz,14632403,1000000,15,trigonal,148.0,,,,,,
mp-1104614,dev_bulk,bulk,Materials Project,CaFeSeO,60x96x200,6c480fb645826ba29e8836d41123b4868512412dd6f6e06a2964cb8953ec575d,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1813736.json.gz,16784237,1152000,16,orthorhombic,62.0,,,,,,
mp-1105871,dev_bulk,bulk,Materials Project,Lu5Pb3,96x140x140,21caf98fcb0667ec616afadcc037408d172580438caa4840a7ca2e1b72c2e90b,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1816881.json.gz,27217946,1881600,16,hexagonal,193.0,,,,,,
mp-1111338,dev_bulk,bulk,Materials Project,NaLi2VF6,96x96x96,9a85d0f0895126fda99ca89549e7ad5c74fd329c2146128c23de50eb9b81b1cf,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1871416.json.gz,11965212,884736,10,cubic,225.0,,,,,,
mp-1112138,dev_bulk,bulk,Materials Project,Cs2NaTlBr6,120x120x120,d0ac601decd2b8cff980619a69e270c10c20b37e069239c55b8a8411fe28f78c,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1843059.json.gz,23992198,1728000,10,cubic,225.0,,,,,,
mp-1114492,dev_bulk,bulk,Materials Project,Rb3AuCl6,140x140x140,05e8ca7670b7af86bb4b9cdafeab42948a204776fdda23a2f07ecb74b5d4b15c,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2912444.json.gz,27921056,2744000,10,cubic,225.0,,,,,,
mp-11306,dev_bulk,bulk,Materials Project,LuCd3,96x96x72,fb3084090703c0d24e8783d2dba6ed69b874821b9834b16b53d9914a7f466d15,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-2691400.json.gz,8765464,663552,8,orthorhombic,63.0,,,,,,
mp-11419,dev_bulk,bulk,Materials Project,ThGa2,72x72x72,22c0e68f82030bc1bcf6af1e3ef62f53f7d8815ef20cd41e893c5a6c48814ea7,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1947108.json.gz,3845827,373248,3,hexagonal,191.0,,,,,,
mp-1173587,dev_bulk,bulk,Materials Project,NaMn2FeAg(PO4)3,128x128x160,1cd2326241d9cbfba6f49f2511cbac607da94788b2e7d171ee4fb6b57851a308,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1889405.json.gz,38647643,2621440,40,monoclinic,5.0,,,,,,
mp-1174037,dev_bulk,bulk,Materials Project,Li5Co3O8,80x80x84,e81fe601e7fcca43b5621bbed30553832af1cb6242e3648f967bb7b31784bab9,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1785012.json.gz,7813495,537600,16,triclinic,2.0,,,,,,
mp-1175088,dev_bulk,bulk,Materials Project,Li7Mn2(CoO4)3,48x80x216,9f578cec6fcbbc39cf47fbed30fc78a99e2d48f4ca81dbc67160c85d9df0bb02,https://materialsproject-parsed.s3.amazonaws.com/chgcars/mp-1835506.json.gz,12294270,829440,24,triclinic,1.0,,,,,,
