model,codec,effect,ci_lo,ci_hi,p
M0,SZ3,2.3352361071925194,2.151910891434493,2.534179132622174,6.663359099593772e-92
M0,SPERR,2.075975410805432,1.9098258240909711,2.2565795539601514,5.10502826456335e-66
M1,SZ3,0.9581751070055018,0.8328284659910192,1.1023873140461378,0.5503198765657945
M1,SPERR,0.9395474165472724,0.8220764880545421,1.0738043974833713,0.3601607003760271
