model,n_rows,n_materials,r2,adj_r2
M0_Linf_codec_material,3925,132,0.8300634464609157,0.8240551355970008
M_electron,3925,132,0.8302894810807426,0.82424278800761
M_reassign,3925,132,0.8754049252045525,0.8709656707581589
M_both,3925,132,0.8754808506081967,0.8710102581273927
