relative_tolerance,codec,n,median_row_ratio,ci_lo,ci_hi,ratio_of_median_errors,median_fixed_e,median_resolved_e,fraction_resolved_gt_fixed
0.0001,SPERR,237,132.95709136468275,117.01666570203037,150.35478749856304,132.8612386277189,6.860414125320347e-05,0.0091148311818916,1.0
0.0001,SZ3,238,8.965272375420607,8.353445181493953,10.335952003896857,9.58710343270678,0.0009355844094555,0.0089695445034782,1.0
0.0001,ZFP,247,224.1731196811379,198.58329438471785,282.5133534598207,227.14145389545183,7.971017041974449e-06,0.0018105483999395,1.0
0.001,SPERR,181,35.31314621713758,28.51301976514662,42.56004144845435,34.72882667489734,0.0007370608510086,0.02559725854353,1.0
0.001,SZ3,210,2.912154748357475,2.63599464903188,3.246549349597884,3.0710734400343296,0.0113575700075169,0.0348799315934158,0.9761904761904762
0.001,ZFP,240,70.74980773432686,64.91946395484577,82.51982202106916,69.06355957002748,7.988410424442094e-05,0.0055170805921828,0.9958333333333332
0.01,SPERR,90,10.303742675342736,8.606361820931749,13.813011616294038,11.047313923983795,0.0069701290966532,0.077001204221422,1.0
0.01,SZ3,49,1.6976092499978053,1.436198253984251,2.0920397752411883,1.56243258016771,0.0862551295513194,0.1347678246175681,0.9183673469387756
0.01,ZFP,206,30.413840762712823,27.017917225766368,33.47296986901968,30.68002934633128,0.0006901318000065,0.0211732638770358,1.0
