codec,median,q25,q75,q05,q95,n
SPERR,0.9999867524002072,0.9999580238638375,0.9999923515093524,0.9971081795008342,0.9999970195639634,1956
SZ3,0.9999987770000592,0.9999962739306136,0.999999561661872,0.9999756903157929,0.9999999340954939,1937
ZFP,0.15752052367433345,0.13225320004329513,0.1939400654410493,0.09686409462873678,0.2421516510824245,2450
