material,sentinel,variant,kind,domain_max_e,integrand_max_e,total_max_e,domain_to_integrand,migration_fraction,closure_max_e
mp-1007755,True,float32,float32,7.972289495228324e-12,6.079723391394509e-10,6.000000496442226e-10,0.013112914818645583,0.0,0.0
mp-1007755,True,noise_20260905,noise,0.0017039538699972212,9.469996342659215e-09,0.0017039444000008785,179931.84034522486,0.0008769132653061224,0.0
mp-1007755,True,noise_1,noise,0.0012697668893135727,1.5959017218847293e-08,0.0012697657000000362,79564.22829182755,0.0009732408588435374,0.0
mp-1007755,True,noise_2,noise,0.0017092794594937288,9.679421708597147e-09,0.0017092764999997456,176589.006136138,0.0015744579081632653,0.0
mp-1007755,True,noise_3,noise,0.001646335989981651,1.1942773880946334e-08,0.001646335400000254,137852.06070159614,0.0012157206632653062,0.0
mp-1007755,True,noise_4,noise,0.0015207783285315912,5.671468628065668e-09,0.0015207840000002193,268145.4184557966,0.0007307610544217688,0.0
mp-1007755,True,zfp_0.0001,codec,0.008730483506269593,2.8281062682822267e-06,0.00872765540000131,3087.042238894521,0.001737218324829932,0.0
mp-1007755,True,zfp_0.0001_global_1701,spatial_control,0.002199765159238254,3.364359468349676e-06,0.0022003673000003943,653.843675128243,0.0021192070578231292,0.0
mp-1007755,True,zfp_0.0001_shift_1701,spatial_control,0.00950364646854851,3.3627928814894403e-06,0.009502492600001133,2826.117100717537,0.001488095238095238,0.0
mp-1007755,True,zfp_0.0001_stratified_1701,spatial_control,0.002114420027711006,4.339906219286149e-06,0.002113077900000704,487.2040825017636,0.0017106451955782313,0.0
mp-1007755,True,zfp_0.0001_global_1702,spatial_control,0.0020939361581753246,2.369648024469484e-06,0.0020925686000001775,883.6485995189578,0.0021590667517006803,0.0
mp-1007755,True,zfp_0.0001_shift_1702,spatial_control,0.003335974665040098,3.2836181329543024e-06,0.0033348500999998976,1015.9447688390884,0.0012921184098639456,0.0
mp-1007755,True,zfp_0.0001_stratified_1702,spatial_control,0.0015364661941461577,3.336094145822699e-06,0.001533130100000335,460.55840362600344,0.0010363520408163266,0.0
mp-1007755,True,zfp_0.0001_global_1703,spatial_control,0.0029293320315311178,2.366341464110633e-06,0.002928749100000516,1237.9160302767546,0.0015578497023809525,0.0
mp-1007755,True,zfp_0.0001_shift_1703,spatial_control,0.001705128944067269,2.75285524686808e-06,0.0017055347000010102,619.403779405834,0.0014814519557823128,0.0
mp-1007755,True,zfp_0.0001_stratified_1703,spatial_control,0.0038128914815587223,2.963781557951961e-06,0.0038099277000007703,1286.4954474558224,0.0015013818027210884,0.0
mp-1007755,True,zfp_0.001,codec,0.007659648551820553,2.2728348179512636e-05,0.007682376900000065,337.00858906785714,0.00439453125,0.0
mp-1007755,True,sz3_0.0001,codec,0.010957952323911613,0.00028727632607861153,0.011119335100000072,38.14429289559012,0.0074105814200680275,0.0
mp-1007755,True,sz3_0.0001_global_1701,spatial_control,0.011622291860032163,0.0002700180233077276,0.011827307100000795,43.0426521817277,0.009948315263605442,0.0
mp-1007755,True,sz3_0.0001_shift_1701,spatial_control,0.014570065670682197,0.0003012028225715113,0.014708963500000394,48.372938693902796,0.008267564838435375,0.0
mp-1007755,True,sz3_0.0001_stratified_1701,spatial_control,0.020014289643917493,0.0002869352766943223,0.020218292600000964,69.75193107830762,0.009054793792517007,0.0
mp-1007755,True,sz3_0.0001_global_1702,spatial_control,0.007961382598290712,0.00027299155327575875,0.008180546300000202,29.163475949194034,0.010493064413265306,0.0
mp-1007755,True,sz3_0.0001_shift_1702,spatial_control,0.008235486656481328,0.0002801933935767664,0.008377104300000937,29.3921514399482,0.009091331845238096,0.0
mp-1007755,True,sz3_0.0001_stratified_1702,spatial_control,0.006849474189287719,0.00026074598928715886,0.00658872820000056,26.268761441022246,0.009529788477891156,0.0
mp-1007755,True,sz3_0.0001_global_1703,spatial_control,0.012034700586607272,0.00030127387998035715,0.012232148700000778,39.94604705655839,0.010496386054421769,0.0
mp-1007755,True,sz3_0.0001_shift_1703,spatial_control,0.007845902536249838,0.0003821333502962432,0.00802344989999959,20.53184452539256,0.009107940051020409,0.0
mp-1007755,True,sz3_0.0001_stratified_1703,spatial_control,0.022997237951862814,0.0002816760334578561,0.02322104920000001,81.6442835748169,0.008835565476190476,0.0
mp-1007755,True,sz3_0.001,codec,0.11282139446959683,0.002965524362615213,0.1125190105999998,38.04433235884894,0.028250558035714284,0.0
mp-1007755,True,sperr_0.0001,codec,0.006740956814379473,1.345690973408864e-05,0.006745042800000434,500.92903553506665,0.00800515518707483,0.0
