material,domain,sentinel,solver,codec,control,codec_error_e,control_median_error_e,difference_e,ratio,relative_linf_mismatch_max,max_added_negative_fraction
mp-631399,bulk,False,henkelman_ongrid,sperr,global,0.002607000000000248,0.0023660000000003123,-0.0002409999999999357,0.9075565784426879,0.0,0.0
mp-631399,bulk,False,henkelman_ongrid,sperr,shift,0.002607000000000248,0.002146999999999899,-0.000460000000000349,0.8235519754505926,0.0,0.0
mp-631399,bulk,False,henkelman_ongrid,sperr,stratified,0.002607000000000248,0.0013510000000005462,-0.0012559999999997018,0.5182201764481847,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,zfp,global,0.0010099999999990672,0.0004939999999997724,-0.0005159999999992948,0.4891089108913155,2.6909565646053032e-12,0.0
mp-631399,bulk,False,henkelman_neargrid,zfp,shift,0.0010099999999990672,0.0008179999999988752,-0.00019200000000019202,0.8099009900986442,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,zfp,stratified,0.0010099999999990672,0.0006590000000006313,-0.0003509999999984359,0.6524752475259802,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,sz3,global,0.0024439999999987805,0.0027410000000003265,0.00029700000000154603,1.1215220949270435,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,sz3,shift,0.0024439999999987805,0.0027599999999994296,0.0003160000000006491,1.1292962356795444,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,sz3,stratified,0.0024439999999987805,0.0021339999999998582,-0.00030999999999892225,0.8731587561378572,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,sperr,global,0.0004930000000005208,0.001182999999999268,0.0006899999999987472,2.399594320482796,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,sperr,shift,0.0004930000000005208,0.001090999999998843,0.0005979999999983221,2.2129817444172217,0.0,0.0
mp-631399,bulk,False,henkelman_neargrid,sperr,stratified,0.0004930000000005208,0.0008239999999997139,0.00033099999999919305,1.6713995943181408,0.0,0.0
mp-214,bulk,False,baderkit_ongrid,zfp,global,0.0011264405000002142,0.002233609500001066,0.0011071690000008516,1.9828916840264896,0.0,0.0
mp-214,bulk,False,baderkit_ongrid,zfp,shift,0.0011264405000002142,0.0020744770000007406,0.0009480365000005264,1.841621461586605,1.0313629681159677e-12,0.0
mp-214,bulk,False,baderkit_ongrid,zfp,stratified,0.0011264405000002142,0.0017056759000002586,0.0005792354000000444,1.5142174841901852,0.0,0.0
mp-214,bulk,False,baderkit_ongrid,sz3,global,0.006968982700000126,0.011190448500000727,0.004221465800000601,1.605750649947879,0.0,0.0
mp-214,bulk,False,baderkit_ongrid,sz3,shift,0.006968982700000126,0.011912352399999548,0.0049433696999994226,1.709338781971626,0.0,0.0
mp-214,bulk,False,baderkit_ongrid,sz3,stratified,0.006968982700000126,0.01313954110000104,0.006170558400000914,1.8854317287946205,0.0,0.0
mp-214,bulk,False,baderkit_ongrid,sperr,global,0.0015520216000002307,0.011587659899999991,0.01003563829999976,7.4661717981233435,0.0,0.0
mp-214,bulk,False,baderkit_ongrid,sperr,shift,0.0015520216000002307,0.010850699000000574,0.009298677400000344,6.991332465990784,5.191666614683076e-13,0.0
mp-214,bulk,False,baderkit_ongrid,sperr,stratified,0.0015520216000002307,0.012339702300000255,0.010787680700000024,7.950728456355518,0.0,0.0
mp-214,bulk,False,henkelman_ongrid,zfp,global,0.0011269999999985458,0.002233999999999625,0.0011070000000010793,1.9822537710758719,0.0,0.0
mp-214,bulk,False,henkelman_ongrid,zfp,shift,0.0011269999999985458,0.002074999999999605,0.0009480000000010591,1.8411712511111644,1.0313629681159677e-12,0.0
mp-214,bulk,False,henkelman_ongrid,zfp,stratified,0.0011269999999985458,0.001705999999998653,0.0005790000000001072,1.5137533274186816,0.0,0.0
mp-214,bulk,False,henkelman_ongrid,sz3,global,0.006968999999999781,0.011190999999998397,0.004221999999998616,1.6058257999711218,0.0,0.0
mp-214,bulk,False,henkelman_ongrid,sz3,shift,0.006968999999999781,0.011911999999998812,0.0049429999999990315,1.7092839718753317,0.0,0.0
mp-214,bulk,False,henkelman_ongrid,sz3,stratified,0.006968999999999781,0.01313999999999993,0.006171000000000149,1.8854928971158478,0.0,0.0
mp-214,bulk,False,henkelman_ongrid,sperr,global,0.0015519999999984435,0.01158799999999971,0.010036000000001266,7.466494845368126,0.0,0.0
mp-214,bulk,False,henkelman_ongrid,sperr,shift,0.0015519999999984435,0.010850999999998834,0.00929900000000039,6.991623711346467,5.191666614683076e-13,0.0
mp-214,bulk,False,henkelman_ongrid,sperr,stratified,0.0015519999999984435,0.012339999999998241,0.010787999999999798,7.9510309278418925,0.0,0.0
mp-214,bulk,False,henkelman_neargrid,zfp,global,9.999999999621423e-06,0.00023700000000026478,0.00022700000000064335,23.700000000923705,0.0,0.0
mp-214,bulk,False,henkelman_neargrid,zfp,shift,9.999999999621423e-06,0.00024800000000091416,0.00023800000000129273,24.800000001030288,1.0313629681159677e-12,0.0
mp-214,bulk,False,henkelman_neargrid,zfp,stratified,9.999999999621423e-06,0.00023400000000073362,0.0002240000000011122,23.40000000095923,0.0,0.0
mp-214,bulk,False,henkelman_neargrid,sz3,global,0.003659000000000745,0.0021199999999996777,-0.0015390000000010673,0.5793932768513927,0.0,0.0
mp-214,bulk,False,henkelman_neargrid,sz3,shift,0.003659000000000745,0.0020490000000012998,-0.0016099999999994452,0.5599890680516214,0.0,0.0
mp-214,bulk,False,henkelman_neargrid,sz3,stratified,0.003659000000000745,0.00311100000000053,-0.000548000000000215,0.8502323039081434,0.0,0.0
mp-214,bulk,False,henkelman_neargrid,sperr,global,0.0011799999999997368,0.0026489999999999014,0.0014690000000001646,2.2449152542377053,0.0,0.0
mp-214,bulk,False,henkelman_neargrid,sperr,shift,0.0011799999999997368,0.0019530000000003156,0.0007730000000005788,1.6550847457633484,5.191666614683076e-13,0.0
mp-214,bulk,False,henkelman_neargrid,sperr,stratified,0.0011799999999997368,0.0032200000000006668,0.00204000000000093,2.7288135593232075,0.0,0.0
mp-1178256,bulk,False,baderkit_ongrid,zfp,global,0.0020254824999996757,0.0015294277999995387,-0.000496054700000137,0.7550930704164482,0.0,0.0
mp-1178256,bulk,False,baderkit_ongrid,zfp,shift,0.0020254824999996757,0.001235858399999401,-0.0007896241000002746,0.6101550618184057,4.2403128964136224e-13,0.0
mp-1178256,bulk,False,baderkit_ongrid,zfp,stratified,0.0020254824999996757,0.0013625875000000676,-0.0006628949999996081,0.6727224253975463,0.0,0.0
mp-1178256,bulk,False,baderkit_ongrid,sz3,global,0.006088071499999792,0.009501072099999064,0.003413000599999272,1.560604552689532,0.0,0.0
mp-1178256,bulk,False,baderkit_ongrid,sz3,shift,0.006088071499999792,0.007995120199998595,0.0019070486999988034,1.3132434794826027,0.0,0.0
mp-1178256,bulk,False,baderkit_ongrid,sz3,stratified,0.006088071499999792,0.009750880399998607,0.003662808899998815,1.601636971576129,0.0,0.0
