population,n_rows,n_gate_pass,gate_pass_fraction,median_Linf_reproduction_ratio,min_Linf_reproduction_ratio,max_Linf_reproduction_ratio,median_potential_rel_RMSE,p95_potential_rel_RMSE,median_potential_rel_Linf,median_Bader_error_resolved_e,pearson_log_Verr_vs_log_Linf,spearman_log_Verr_vs_log_Linf,pearson_log_Bader_vs_log_Linf,spearman_log_Bader_vs_log_Linf,pearson_log_Verr_vs_log_Bader,spearman_log_Verr_vs_log_Bader,pooled_loglog_slope_Verr_vs_Linf,pooled_loglog_R2_Verr_vs_Linf,pooled_loglog_slope_Bader_vs_Linf,pooled_loglog_R2_Bader_vs_Linf
pilot_3_rows_per_material,36,36,1.0,1.0,0.9999999999999997,1.0000000000001452,2.9568598919092427e-06,0.0012896845603803297,7.765241714895181e-06,0.00339931671997905,0.9912270310117687,0.9886743886743887,0.8090852912429692,0.8350064350064351,0.8170727936218113,0.841956241956242,1.0214104163862425,0.9825310270084057,0.7692649500809057,0.6546190085057203
full_frozen_ZFP_ladder,127,127,1.0,1.0000000000000004,0.9999999999999997,1.0000000000002356,2.0287129114911356e-06,0.0005615684106184777,5.462479113067106e-06,0.0020841039058048,0.9846961388590405,0.982898622047244,0.7794308446782361,0.8108712973378327,0.790471700248018,0.8274512560929883,1.0217662257977485,0.969626485883905,0.7437273185780621,0.6075124416358286
