material_id,formula,n_gate_pass_rows,stability_floor_A1_e,Linf_span_decades,potential_monotone_nondecreasing,potential_n_decreases,potential_loglog_slope,potential_loglog_R2,potential_local_elasticity_min,potential_local_elasticity_max,potential_dynamic_range,bader_monotone_nondecreasing,bader_n_decreases,bader_loglog_slope,bader_loglog_R2,bader_local_elasticity_min,bader_local_elasticity_max,bader_max_consecutive_jump_ratio,bader_dynamic_range,bader_min_e,bader_max_e
mp-1007755,HfAu,9,0.0017092764859629,3.9193864455872838,True,0,1.0421497544988831,0.995936920630735,0.5843467505846855,1.647544541347601,8522.520505422877,False,3,0.11376802861457926,0.16711172890940096,-1.6300300444034193,0.9752365378538695,3.5517824375451506,9.082277796111919,0.0044043441863728,0.0400014774103283
mp-10761,FeTe,9,0.0016631708205121,3.659439580175797,True,0,1.091637917433533,0.9981767625112875,0.9413614811630733,1.39430666756743,8845.988774381514,False,2,0.3024847277501533,0.6139517559440675,-0.6063198532682893,2.013132584215986,21.610720915351525,36.76345071619322,0.0082389030894578,0.3028905076847739
mp-1094905,MgTi3,10,0.0003569475820821,4.255513374603177,True,0,1.056120251781116,0.9987502627535346,0.8933124743382442,1.5835117734275048,28851.191731090337,False,1,0.7561892232708523,0.9714561880575535,-0.1460429928444336,1.690591383640271,6.773510168123007,2826.753179141836,3.857658493622296e-05,0.1090464841089033
mp-11419,ThGa2,6,0.0328107202440346,2.2653139583199247,True,0,1.055283594975977,0.9985532183512528,0.6509917421238361,1.139344245787961,217.4985620686233,False,1,1.3937778144056034,0.805558477541214,-3.950457132842004,3.8538250460756855,118.49513477194729,1403.7355386831553,4.195884668689587e-05,0.0588991242565537
mp-1219705,PrY,12,3.822001167108624e-05,5.169007181136277,True,0,1.0467270687106414,0.9988554591522334,0.7530458298808786,1.3955385679331112,216215.9202369549,False,3,1.1105861748263612,0.8499814102844472,-2.3582393867083606,4.929343963756157,867.5511922676211,7879526.623308853,1.2693917028627766e-08,0.1000220571811461
mp-1226636,CeB2Ir2Rh,8,0.0053351040971492,3.30125893698691,True,0,1.0671597970998907,0.9992884032541025,0.9593082526218158,1.403036174350058,3512.666785336769,False,1,0.7046457027211289,0.9324720354654259,-0.2536805754291006,2.0369048297230696,5.095853709328481,190.96244352112888,0.0006503794486647,0.1241980487329357
mp-1246480,CoGeN2,13,0.0001625568721106,5.695428239968155,True,0,1.0269590254404684,0.9952841824700756,0.4978435775508957,1.5644432383468183,597164.0349664267,True,0,0.6051608552168014,0.9911130045918276,0.2748632782190531,1.1158199172698673,4.422688314915784,3921.1501532826287,2.435331066763524e-05,0.0954929878573374
mp-1246548,In(FeN)2,13,0.0001451752940315,5.74198378705495,False,1,1.0718427815890061,0.9939717276845471,-0.04602201445016739,2.2678862742283012,1029317.4088932264,False,1,0.5583293986243265,0.9143969916085258,-0.2842326260610753,2.972778454295313,8.501135033462894,4006.088744376083,5.003400874770136e-05,0.2004406792801809
mp-1778,BeO,13,0.0008690062420009,5.817507287621292,True,0,1.0642552625961479,0.9981594872375921,0.6497213294472545,1.5695393442611,1475921.2111588703,False,3,0.23794097735971023,0.5406088696631228,-0.7068082045189548,2.458999119139728,7.51054158713008,140.5051062444847,0.0003592539665793,0.0504770167429771
mp-214,ZrRu,13,3.139012960673426e-08,5.765549667995655,True,0,1.0714804459533647,0.9977575912475277,0.31959614488830806,1.6509519678332316,981139.9324058563,False,1,1.3068736317812837,0.8682565413103759,-0.7705477930770935,5.769995649498008,1826.5610701342075,16158775.674010007,5.911957146054192e-09,0.0955299893174501
mp-2647013,Mo,9,0.0030025199409777,3.6168186125311914,True,0,1.0838475842347304,0.9989217937272729,0.792605847072469,1.215606670668831,7534.989382432553,False,2,0.10063229879578671,0.4366796577226335,-0.024853997842102963,0.8271300912097219,2.903447917672914,3.77487802450636,0.0023403881547334,0.0088346798141181
mp-560030,CaF2,12,9.210060489373006e-06,5.101245737515255,True,0,1.0573717440940094,0.9986350676362279,0.6932203506337764,1.407942567785995,350119.0398618957,False,1,1.0098939001344813,0.8155762146129174,-0.07121397022631436,5.346035728693346,919.1242664230924,597719.4830156578,7.932628776075035e-09,0.0047414867709907
