material_id,formula,npoints,natoms,stability_floor_A1_e,ladder,pilot_role,is_pilot_row,nominal_tolerance_relative,nominal_tolerance_absolute,frozen_realized_Linf,reproduced_realized_Linf,Linf_reproduction_ratio,reproduction_gate_pass,realized_Linf,realized_Linf_over_ptp,rmse_density,frozen_compressed_bytes,reproduced_compressed_bytes,compression_ratio_frozen,compression_ratio_reproduced,Bader_error_resolved_e,Bader_error_fixed_e,frac_voxels_reassigned,electron_count_abs_dev,V_orig_rms,V_orig_ptp,potential_rel_RMSE,potential_rel_Linf,potential_rel_Linf_over_Vptp
mp-1778,BeO,110592,2,0.0008690062420009,tight,tight,True,1e-07,2.0838951782433e-05,3.68881418211231e-06,3.68881418211231e-06,1.0,True,3.68881418211231e-06,1.770153422602541e-08,6.610311718114555e-07,187488,187488,4.71889400921659,4.71889400921659,0.0009198823429148,4.671769637809575e-09,0.0005787037037037,5.117549051192327e-09,18.540323935432195,105.74582889228282,7.820922470505896e-10,3.112752538431233e-09,5.457561872453733e-10
mp-1778,BeO,110592,2,0.0008690062420009,tight,,False,3e-07,6.2516855347299e-05,1.418684798792924e-05,1.418684798792924e-05,1.0,True,1.418684798792924e-05,6.807851055103737e-08,2.620739745855954e-06,160368,160368,5.516911104459743,5.5169111044597425,0.0007925930921732,2.3978783403322272e-09,0.0005515769675925,2.333031545731501e-09,18.540323935432195,105.74582889228282,3.095488160134809e-09,1.314566522941651e-08,2.3048180174406517e-09
mp-1778,BeO,110592,2,0.0008690062420009,tight,,False,1e-06,0.0002083895178243,3.810198907472362e-05,3.810198907472362e-05,1.0,True,3.810198907472362e-05,1.8284023818723534e-07,5.196321695985067e-06,147040,147040,6.016974972796518,6.016974972796518,0.0009694310573675,2.5158410466019632e-08,0.0005606192129629,1.1715243886101234e-08,18.540323935432195,105.74582889228282,7.609985846920054e-09,3.128389775557065e-08,5.4849785038996336e-09
mp-1778,BeO,110592,2,0.0008690062420009,tight,,False,3e-06,0.0006251685534729,0.0001410099357919,0.00014100993579191368,1.000000000000097,True,0.00014100993579191368,6.766652049686273e-07,2.0399154715448795e-05,121504,121504,7.281538056360285,7.281538056360285,0.0009695350790916,9.337664064190677e-08,0.0005606192129629,8.321067213046263e-08,18.540323935432195,105.74582889228282,2.6804516292729133e-08,9.609297171919192e-08,1.6847896907659128e-08
mp-1778,BeO,110592,2,0.0008690062420009,base,,False,1e-05,0.0020838951782433,0.0004429621196351,0.00044296211963512633,1.0000000000000595,True,0.00044296211963512633,2.1256449185152316e-06,7.876149033877672e-05,97576,97576,9.067147659260474,9.067147659260474,0.0005759712547046,1.305055823408452e-07,0.0007685908564814,1.8475932606065726e-07,18.540323935432195,105.74582889228282,1.5215757924630264e-07,4.961278569821663e-07,8.698566438219506e-08
mp-1778,BeO,110592,2,0.0008690062420009,base,,False,3e-05,0.0062516855347299,0.0009143866455048,0.0009143866455048055,1.000000000000006,True,0.0009143866455048055,4.3878725525706295e-06,0.00015437493215512092,86408,86408,10.23905193963522,10.23905193963522,0.0008910524491962,1.224434491575721e-06,0.0006058304398148,1.5269676225670992e-06,18.540323935432195,105.74582889228282,2.436699705685542e-07,9.522569884974974e-07,1.6695838711999713e-07
mp-1778,BeO,110592,2,0.0008690062420009,base,middle,True,0.0001,0.020838951782433,0.0033057895421872,0.0033057895421872985,1.0000000000000298,True,0.0033057895421872985,1.5863511642529166e-05,0.0005825319210462243,65936,65936,13.418102402329533,13.418102402329533,0.0003592539665793,2.2606343366149417e-06,0.0006962528935185,6.439358486431956e-07,18.540323935432195,105.74582889228282,8.017609035447615e-07,4.0631320692299545e-06,7.123854013447889e-07
mp-1778,BeO,110592,2,0.0008690062420009,base,,False,0.0003,0.0625168553472989,0.0145292976531248,0.014529297653124829,1.000000000000002,True,0.014529297653124829,6.972182576559759e-05,0.002135211455183388,48272,48272,18.328140536957243,18.328140536957243,0.0004507420257757,3.042020718257988e-05,0.0011121961805555,2.4662400113228955e-05,18.540323935432195,105.74582889228282,3.054079003225344e-06,1.1356360211889345e-05,1.9911007295650174e-06
mp-1778,BeO,110592,2,0.0008690062420009,base,,False,0.001,0.20838951782433,0.029785885812501,0.02978588581250108,1.0000000000000027,True,0.02978588581250108,0.00014293370474425802,0.00400195895933118,40720,40720,21.72730844793713,21.72730844793713,0.0026336625236522,3.888820595232545e-05,0.0030381944444444,2.1836698435251378e-05,18.540323935432195,105.74582889228282,8.588481999053707e-06,2.7634759850057586e-05,4.845178338143741e-06
mp-1778,BeO,110592,2,0.0008690062420009,base,,False,0.003,0.62516855347299,0.0958123346500001,0.09581233465000016,1.0000000000000007,True,0.09581233465000016,0.0004597752115860687,0.014375635260869971,27952,27952,31.6519748139668,31.6519748139668,0.0045362078648141,0.000100258009434,0.0082465277777777,0.0001183181048052262,18.540323935432195,105.74582889228282,3.4190967760823426e-05,0.00011755372950101242,2.0610592848887282e-05
